texto,siglaTipo
"Altera a Lei nº 8.080, de 19 de setembro de 1990, que dispõe sobre as condições para a promoção, proteção e recuperação da saúde, a organização e o funcionamento dos serviços correspondentes e dá outras providências, para determinar aos gestores de saúde a implantação de sistema de regulação do acesso a ações e serviços de média e alta complexidade, no âmbito do Sistema Único de Saúde (SUS), e dispõe sobre as diretrizes norteadoras do referido sistema.",PLS
"Altera a Lei nº 9.434, de 4 de fevereiro de 1997, que dispõe sobre a remoção de órgãos, tecidos e partes do corpo humano para fins de transplante e tratamento e dá outras providências, para instituir a obrigatoriedade de reserva de vaga e espaço para o transporte de órgãos, tecidos e partes do corpo humano para fins de transplante e tratamento.",PLS
Institui a Carteira de Identificação do Paciente Bariátrico e define regras para sua emissão.,PLS
Institui limites ao período de adoção da hora de verão e dá outras providências.,PLS
"Altera a Lei nº 10.147, de 21 de dezembro de 2000, para estabelecer metodologia de atualização da lista e modos de utilização do crédito presumido para os produtos incluídos no regime especial de contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público – PIS/Pasep, e da Contribuição para o Financiamento da Seguridade Social –Cofins.",PLS
Define crimes de terrorismo e dá outras providências.,PLS
"Altera a Lei nº 11.794, de 8 de outubro de 2008, para proibir a utilização de animais na pesquisa e no desenvolvimento de produtos cosméticos e de higiene pessoal.",PLS
"Altera a Lei 10.438, de 15 de março de 2004, com o objetivo de garantir condições ao gestor público para dar maior estabilidade às tarifas de energia elétrica.",PLS
Proíbe a distribuição de animais a título de sorteio ou brinde.,PLS
"Altera a Lei 10.438, de 26 de abril de 2002, para garantir incentivos à autoprodução de energia elétrica a partir da microgeração e minigeração distribuída, que utilizem fontes com base em energia hidráulica, solar, eólica, biomassa e cogeração qualificada.",PLS
"Altera a Lei nº 11.904, de 14 de janeiro de 2009, para dispor sobre gratuidade de ingresso em museus.",PLS
"Altera os art. 1º e insere dispositivos sobre a Primeira Infância na Lei nº 8.069, de 1990, que dispõe sobre o Estatuto da Criança e do Adolescente e dá outras providências.",PLS
"Altera a Lei nº 9.870, de 23 de novembro de 1999, para estabelecer que o material escolar, quando de uso coletivo, deve ser fornecido pelo estabelecimento de ensino, sendo vedada a indicação de marca específica para materiais a serem utilizados por todos os alunos.",PLS
"Altera a Lei nº 8.723, de 8 de outubro de 1993, para instituir a etiquetagem veicular.",PLS
"Concede isenção da Contribuição para o Financiamento da Seguridade Social (COFINS) e da Contribuição para o PIS/PASEP sobre as operações com produtos reciclados e altera a Lei nº 12.375, de 30 de dezembro de 2010, para prorrogar o prazo de vigência da concessão de crédito presumido do Imposto sobre Produtos Industrializados (IPI).",PLS
"Altera a Lei nº 9.250, de 26 de dezembro de 1995, para permitir que sejam deduzidos da base de cálculo do Imposto sobre a Renda das Pessoas Físicas (IRPF) parcela dos valores investidos na integralização de capital social em sociedades empresárias Start-ups.",PLS
"Altera a Lei nº 9.434, de 4 de fevereiro de 1997, que dispõe sobre a remoção de órgãos, tecidos e partes do corpo humano para fins de transplante e tratamento e dá outras providências, e a Lei nº 9.656, de 3 de junho de 1998, que dispõe sobre os planos e seguros privados de assistência à saúde, para dispor sobre o transporte de órgãos, tecidos e partes do corpo humano para fins de transplante e tratamento nos âmbitos do Sistema Único de Saúde e da saúde suplementar.",PLS
"Altera a Lei nº 8.080, de 19 de setembro de 1990, que dispõe sobre as condições para a promoção, proteção e recuperação da saúde, a organização e o funcionamento dos serviços correspondentes e dá outras providências, para instituir o Sistema Nacional de Logística de Antídotos (SINALANT).",PLS
"Altera a Lei nº 9.250, de 26 de dezembro de 1995, para autorizar a dedução das despesas com cuidadores domiciliares de idosos da base de cálculo do Imposto de Renda das Pessoas Físicas.",PLS
"Acrescenta § 5º ao art. 58 da Lei nº 8.213 de 24 de julho de 1991, para dispor que o fornecimento de Equipamento de Proteção Individual – EPI, por si só, não descaracteriza o trabalho em condições especiais que justifiquem a concessão de aposentadoria especial e dá outras providências.",PLS
"Altera dispositivos do art. 473 da Consolidação das Leis do Trabalho (CLT), para permitir que o empregado possa deixar de comparecer ao trabalho, por até 8 (oito) dias, por motivo de falecimento de familiar ou afim ou casamento, e por até 15 (quinze) dias, para tratamento de saúde de familiar ou afim, e dá outras providências.",PLS
"Altera a Lei nº 11.664, de 29 de abril de 2008, para dispensar da apresentação de pedido médico a realização de exame mamográfico de rastreamento nos serviços próprios do Sistema Único de Saúde (SUS).",PLS
"Acrescenta parágrafo ao art. 26 da Lei nº 11.182, de 2005, que cria a Agência Nacional de Aviação Civil - ANAC, e dá outras providências, para vedar a adoção de medidas de suspensão ou cancelamento de certificados sem os padrões estabelecidos no inciso XXX, do artigo 8º.",PLS
"Altera o Anexo III da Lei nº 11.182, de 2005, que cria a Agência Nacional de Aviação Civil - ANAC, e dá outras providências, para reduzir a taxa de emissão de certificado de homologação de tipo de balões.",PLS
"Acrescenta o § 4º no art. 158 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para estabelecer causa de aumento de pena na extorsão realizada por meio de ligação efetuada do interior de presídios.",PLS
"Dispõe sobre a criação de Zona de Processamento de Exportação (ZPE) no Município de Foz do Iguaçu, no Estado do Paraná.",PLS
"Altera a Lei nº 10.257, de 10 de julho de 2001, (Estatuto da Cidade), para dispor sobre o consórcio imobiliário como forma de viabilização de planos urbanísticos e instituir a requisição de imóveis para regularização, prevenção e recuperação de áreas insalubres, de risco ou atingidas por desastres.",PLS
"Altera a Lei nº 6.766, de 19 de dezembro de 1979, que dispõe sobre o parcelamento do solo urbano e dá outras providências, para dispor sobre o estabelecimento de faixas não-edificáveis e limitações à edificabilidade em loteamentos urbanos.",PLS
"Altera o art. 16 da Lei nº 7.347, de 24 de julho de 1985, para dispor sobre os efeitos da sentença e da coisa julgada coletiva, bem como para autorizar o ajuizamento da liquidação e da execução respectivas no foro do domicílio do beneficiário.",PLS
Autoriza o Banco Central do Brasil a alienar à Companhia de Desenvolvimento Urbano da Região do Porto do Rio de Janeiro S.A. - CDURP os imóveis que especifica.,MPV
"Cria, em caráter temporário, as Funções Comissionadas de Grandes Eventos - FCGE e extingue Funções Comissionadas Técnicas - FCT.",MPV
"Altera a Lei nº 10.848, de 15 de março de 2004, que dispõe sobre a comercialização de energia elétrica.",MPV
"Altera o art. 101 da Constituição Federal, para modificar o processo de escolha e nomeação de Ministros do Supremo Tribunal Federal.",PEC
"Altera o Capítulo IV - Das Funções Essenciais à Justiça, do Título IV - Da Organização dos Poderes, e acrescenta artigo ao Ato das Disposições Constitucionais Transitórias da Constituição Federal.",PEC
"Altera o inciso XVI do art. 37 da Constituição Federal, para autorizar a acumulação de um cargo de professor ou de um cargo privativo de médico com outro cargo público.",PEC
"Altera o art. 103 da Constituição da República Federativa do Brasil de 1988, que dispõe sobre os legitimados para propositura de ação direta de inconstitucionalidade e ação declaratória de constitucionalidade.",PEC
"Acrescenta o art. 20-A à Lei nº 7.716, de 5 de janeiro de 1989, e altera o § 3º do art. 140 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para transferir o crime de injúria qualificada, quando forem utilizados elementos referente a raça, cor, ou etnia, para a Lei que define os crimes resultantes de preconceito de raça ou de cor.",PLS
"Acrescenta o art. 37-A à Lei nº11.340, de 7 de agosto de 2006, para estabelecer a obrigatoriedade da divulgação de informações sobre a Central de Atendimento à Mulher (Ligue 180) por empresas prestadoras de serviços de radiodifusão de sons (rádio) e de sons e imagens (televisão), por programadoras do serviço de acesso condicionado, por veículos impressos de comunicação e por portais de internet hospedados no País.",PLS
"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre o uso do celular ao volante.",PLS
"Acrescenta o §5º ao art. 3º da Lei Complementar nº 79, de 7 de janeiro de 1994, para modificar a distribuição dos recursos do Fundo Penitenciário Nacional - FUNPEN.",PLS
"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tipificar o crime contra as pessoas com deficiência ou transtorno mental.",PLS
"Altera a Lei nº 8.987, de 13 de fevereiro de 1995, que dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências, para disciplinar o emprego de edital de convocação para a modelagem de concessões e parcerias público-privadas.",PLS
"Altera a Lei nº 8.894, de 21 de junho de 1994, para isentar de IOF as operações de câmbio efetuadas por bolsistas brasileiros em estudo no exterior.",PLS
"Especifica os atributos da cachaça, estabelece regras para uso das indicações geográficas para o produto, tipifica a cachaça artesanal produzida por agricultor familiar ou empreendedor familiar rural, estabelece requisitos e limites para a produção e comercialização da cachaça artesanal, define diretrizes para o registro e a fiscalização do estabelecimento produtor, e dá outras providências.",PLS
"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o regime de uso da área de Reserva Legal dos imóveis rurais situados no ecossistema do Lavrado.",PLS
"Altera o art. 11 da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para estabelecer hipótese de interrupção da prescrição.",PLS
"Altera a Lei nº 7.398, de 4 de novembro de 1985, para fomentar a criação de entidades representativas dos estudantes.",PLS
"Acrescenta § 6º ao art. 543-B da Lei nº 5.869, de 11 de janeiro de 1973 (Código de Processo Civil), para estabelecer que, no julgamento de recurso extraordinário com repercussão geral reconhecida, o Supremo Tribunal Federal não está vinculado aos fundamentos jurídicos da peça recursal ou do acórdão recorrido.",PLS
"Altera o inciso IV do art. 365 do Código de Processo Civil, para equiparar aos originais as cópias reprográficas declaradas autênticas pelo advogado, sob sua responsabilidade.",PLS
"Altera a Lei nº 9.051, de 18 de maio de 1995, que dispõe sobre a expedição de certidões para a defesa de direitos e esclarecimentos de situações, para disciplinar o requerimento e a emissão eletrônica de certidões.",PLS
Estabelece competências de fiscalização do Tribunal de Contas da União no caso em que especifica e dá outras providências.,PLS
"Altera a Lei nº 8.989, de 24 de fevereiro de 1995, para estender a isenção do Imposto sobre Produtos Industrializados na aquisição de automóveis aos titulares de autorização, permissão ou concessão do Poder Público para instalação de mobiliários urbanos do tipo quiosque, trailer ou feira, que utilizem o automóvel como instrumento de trabalho ou apoio.",PLS
Dispõe sobre a obrigação da Administração Pública Federal de divulgar despesas com publicidade.,PLS
Dispõe sobre a observância obrigatória de normas técnicas no projeto e na execução de obras de construção civil.,PLS
"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para determinar a obrigatoriedade da instalação de sistema de segurança baseado em monitoramento por meio de câmeras de vídeo nas escolas públicas e privadas de educação básica.",PLS
Restabelece a definição de empresa brasileira de capital nacional em nosso sistema legal e dá outras providências.,PLS
"Dá nova redação, acrescentando parágrafos, ao art. 6º da Lei nº 8.666, de 1993, que “regulamenta o art. 37, inciso XXI, da Constituição Federal, que institui normas para licitações e contratos da Administração Pública e dá outras providências”.",PLS
Obriga os estabelecimentos de saúde a exibir tabela de preços dos serviços prestados aos usuários.,PLS
"Altera as Leis nos 11.482, de 31 de maio de 2007 e 9.250, de 26 de dezembro de 1995, relativas ao imposto sobre a renda da pessoa física, para alterar os valores constantes da tabela progressiva e elevar o limite anual individual de deduções relativas a despesas com educação.",PLS
"Altera a Lei nº 11.959, 29 de junho de 2009, que dispõe sobre a Política Nacional de Desenvolvimento Sustentável da Aquicultura e da Pesca e regula as atividades pesqueiras no País e dá outras providências.",PLS
"Altera a Lei Complementar nº 87, de 13 de setembro de 1996, que dispõe sobre o imposto dos Estados e do Distrito Federal sobre operações relativas à circulação de mercadorias e sobre prestações de serviços de transporte interestadual e intermunicipal e de comunicação e dá outras providências.",PLS
"Altera o art. 28 da Lei nº 11.196, de 21 de novembro de 2005, para dispor sobre a padronização dos dispositivos carregadores utilizados em telefones portáteis de redes celulares do tipo smartphone.",PLS
"Acrescenta § 3º ao art. 115 da Lei nº 8.213, de 24 de julho de 1991, para limitar o montante passível de desconto nos benefícios da Previdência Social e permitir o cancelamento de autorizações de descontos destinados a associações e demais entidades representativas de aposentados e dá outras providências.",PLS
"Cria a Conta de Variações Hidrológicas - CVH, com o objetivo de aumentar a estabilidade das tarifas de energia elétrica, e dá outras providências.",PLS
Dispõe sobre a participação de representantes dos Estados e do Distrito Federal na discussão das propostas e planos orçamentários da União e na definição dos investimentos e obras deles decorrentes.,PLS
"Altera o Código de Processo Penal para prever nova modalidade de prisão preventiva: em caso de flagrante de crime de racismo ou injúria racial, como recurso pedagógico, no interesse da sociedade.",PLS
"Altera a Lei nº 10.098, de 19 de dezembro de 2000, para estabelecer a reserva de vagas em estacionamentos públicos para gestantes a partir do sexto mês de gravidez e puérperas até trinta dias após o parto.",PLS
"Altera a Lei nº 9.294, de 15 de julho de 1996, que dispõe sobre as restrições ao uso e à propaganda de produtos fumígeros, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas, nos termos do § 4º do art. 220 da Constituição Federal, para instituir embalagens genéricas para produtos de tabaco.",PLS
"Dispõe sobre o procedimento para a criação, a incorporação, a fusão e o desmembramento de Municípios, nos termos do § 4º do art. 18 da Constituição Federal e dá outras providências.",PLS
"Altera o art. 6º da Lei nº 8.078, de 11 de setembro de 1990, para reconhecer o direito do consumidor ao imediato cancelamento do pagamento junto à administradora de cartão de crédito, sem necessidade de prévia anuência do prestador de serviço.",PLS
"Altera o art. 13 da Lei nº 8.038, de 28 de maio de 1990, que “institui normas procedimentais para os processos que especifica, perante o Superior Tribunal de Justiça e o Supremo Tribunal Federal”, com a finalidade de tornar cabível o ajuizamento de reclamação por qualquer interessado para garantir a autoridade de decisões proferidas no controle de constitucionalidade.",PLS
"Reduz o número mínimo de pessoas físicas necessárias à criação de cooperativas singulares, autoriza a criação das Cooperativas de Trabalho dos Catadores de Materiais Recicláveis Solidárias e das Cooperativas de Crédito Comunitárias Solidárias e dá outras providências.",PLS
"Altera a Lei n° 9.602, de 21 de janeiro de 1998, que dispõe sobre legislação de trânsito e dá outras providências, para determinar que os recursos do FUNSET não possam ser objeto de contingenciamento ou retenção a nenhum título.",PLS
"Modifica o art. 28 da Lei nº 9.615, de 24 de março de 1998, para dispor sobre a dispensa por justa causa do atleta e a cláusula indenizatória desportiva a ela referente.",PLS
"Abre crédito extraordinário, em favor do Ministério da Defesa e de Operações Oficiais de Crédito, no valor de R$ 5.100.000.000,00, para os fins que especifica.",MPV
"Altera a Lei nº 9.648, de 27 de maio de 1998, para dispor sobre o mandato de Diretor-Geral do Operador Nacional do Sistema Elétrico - ONS.",MPV
Altera o Art. 73 da Constituição Federal para estabelecer que a investidura no cargo de Ministro do Tribunal de Contas da União somente dar-se-á mediante concurso público de provas e títulos.,PEC
Altera o inciso I do § 1º do art. 40 da Constituição Federal para unificar a regra de aposentadoria do servidor público nos casos de invalidez permanente.,PEC
"Altera os arts. 27, 51 e 52 da Constituição Federal, para dispor sobre a criação das Procuradorias e das Consultorias Parlamentares no âmbito das Assembleias Legislativas, da Câmara dos Deputados e do Senado Federal.",PEC
Altera o art. 211 da Constituição Federal para dispor sobre o Sistema Único de Educação Superior Pública.,PEC
"Altera o art. 31 da Emenda Constitucional nº 19, de 4 de junho de 1998, e dá outras providências.",PEC
"Altera e adiciona dispositivos na Constituição Federal para atualizar o tratamento das atividades de ciência, tecnologia e inovação.",PEC
"Altera as Leis nº 4.117, de 27 de agosto de 1962, que institui o Código Brasileiro de Telecomunicações, e nº 12.485, de 12 de setembro de 2011, que dispõe sobre a comunicação audiovisual de acesso condicionado, para obrigar as emissoras e os canais de televisão a veicularem fotos de pessoas desaparecidas.",PLS
"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para instituir redutor dos pontos que ensejam a suspensão do direito de dirigir, nos casos em que o condutor não seja reincidente ao longo dos últimos seis meses.",PLS
"Altera o art. 54 da Lei nº 6.015, de 31 de dezembro de 1973, para tornar obrigatória a inclusão, no assento de nascimento, da impressão plantar dos recém-nascidos, e dá outras providências.",PLS
"Altera a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para estabelecer sanção aos agentes públicos que concederem licença para edificações ou realização de obras comprovadamente danosas ao meio ambiente e ao patrimônio público, sem observância das normas legais e regulamentares aplicáveis à espécie.",PLS
"Acrescenta art. 193-A à Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para conceder adicional de periculosidade aos profissionais da área de jornalismo que exercerem a atividade em condições de risco e dá outras providências.",PLS
"Altera o art. 93-A da Lei nº 9.504, de 30 de setembro de 1997, que estabelece normas para as eleições, para estabelecer a obrigatoriedade de o Tribunal Superior Eleitoral promover propaganda destinada a incentivar a participação feminina na política.",PLS
"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para regular a caracterização de infração de trânsito em caso de parada do veículo no acostamento.",PLS
"Altera a Lei nº. 7.210, de 11 de julho de 1984, “Lei de Execução Penal”, para prever a remição de pena para o condenado que doar sangue.",PLS
"Altera a Lei nº 9.656, de 3 de junho de 1998, para, em caso da morte do titular de plano privado de assistência à saúde, assegurar aos dependentes o direito à manutenção das condições contratuais e à redução proporcional da contraprestação pecuniária.",PLS
Estabelece regras para rotulagem de produto de origem animal embalado e dá outras providências.,PLS
"Altera o art. 35 da Lei nº 11.907, de 2 de fevereiro de 2009, para estabelecer a jornada de trabalho de trinta horas para os servidores integrantes das Carreiras de Perito Médico Previdenciário e de Supervisor Médico Pericial, do Instituto Nacional do Seguro Social, e dá outras providências.",PLS
Institui normas gerais sobre segurança contra incêndio e pânico.,PLS
"Altera a Lei nº 1.411, de 13 de agosto de 1951, que dispõe sobre a profissão de economista, para estabelecer que as atividades próprias da profissão de economista são, nas circunstâncias que menciona, consideradas típicas de Estado.",PLS
"Altera dispositivos do Decreto-Lei nº 3.689, de 3 de outubro de 1941, e do Decreto-Lei nº 2.848, de 7 de dezembro de 1940, para restringir as hipóteses de prisão preventiva e ampliar as hipóteses de cabimento da substituição das penas privativas de liberdade.",PLS
"Acrescenta parágrafo único ao art. 579 da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para isentar da contribuição sindical os servidores públicos.",PLS
"Altera o art. 244-B da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para dar nova configuração ao crime de corrupção de criança ou adolescente.",PLS
"Altera o Decreto-Lei nº 986, de 21 de outubro de 1969, que institui normas básicas sobre alimentos, para estabelecer princípios e diretrizes da rotulagem nutricional obrigatória.",PLS
"Regulamenta o inciso VIII do art. 206 da Constituição Federal, para instituir o piso salarial profissional nacional para os profissionais da educação básica pública não pertencentes ao magistério.",PLS
"Altera a Lei de Execução Penal e o Código Penal para criminalizar o diretor do estabelecimento penal ou o agente público competente pela não atribuição de trabalho ao preso, prever a desídia no trabalho como falta grave, e dá outras providências.",PLS
"Altera o art. 8º da Lei nº 8.906, de 4 de julho de 1994, que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil (OAB), para estabelecer a realização seriada do Exame da Ordem.",PLS
Convalida os atos normativos de concessão de benefícios fiscais e concede remissão e anistia de créditos tributários referentes ao Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestação de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS).,PLS
Dispõe sobre o fornecimento de dados de cidadãos ou empresas brasileiros a organismos estrangeiros.,PLS
"Acrescenta art. 83-A à Lei nº 4.737, de julho de1965 (Código Eleitoral) para reservar, quando da renovação de dois terços do Senado Federal, uma vaga para candidaturas masculinas e outra vaga para candidaturas femininas.",PLS
"Altera a Lei nº 8.010, de 29 de março de 1990, que dispõe sobre importações de bens destinados à pesquisa científica e tecnológica, e dá outras providências, para simplificar o procedimento de importação de substâncias sujeitas a controle especial para pesquisa científica e tecnológica.",PLS
"Altera a Lei nº 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto e dá outras providências, para obrigar as entidades de prática desportiva a divulgar lista dos atletas profissionais participantes do espetáculo desportivo, a fim de facilitar o rateio do direito de arena devido a cada um deles.",PLS
