texto|sentimento
Longo, chorosa e sem sentido. |0
Mas eu recomendo à espera de seus esforços futuros, que este só vez. |0
Excelente elenco, enredo, performances. |1
Totalmente crível. |1
Anne Heche foi absolutamente convincente. |1
retrato de um entusiasmado Marinha de Sam Shepard foi decepcionante. |1
I sat preso à tela da TV. |1
Apesar de tudo, dar um presente uma 9 ressoando de 10. |1
Eu acho que Tom Hanks é um bom ator. |1
Eu gostava de ler este livro para meus filhos quando eram pequenos. |1
Fiquei muito decepcionado com o filme. |0
Um personagem é totalmente irritante com uma voz que me dá a sensação de unhas em um quadro. |0
Há uma cena russa totalmente desnecessário trem / rolo. |0
Não havia absolutamente nenhum calor ou charme para estas cenas ou personagens. |0
Este filme irrita totalmente em meus nervos. |0
As performances não são melhoradas pela improvisação, porque os atores têm agora duas vezes mais com que se preocupar: não só se eles estão entregando a linha bem, mas se a linha em si é bom. |0
E, muito sinceramente, muitas vezes não é muito bom. |0
Muitas vezes, o diálogo realmente não siga de uma linha para outra, ou se encaixam os arredores. |0
Ele explode com uma energia imprevisível, jovem - mas honestamente, eu achei difícil de seguir e se concentrar no que serpenteia tão mal. |0
Há algumas geralmente grandes coisas nele. |1
Eu não diria que eles valem 2 horas de seu tempo, no entanto. |0
Os construtores de suspense eram bons, e apenas cruzar a linha de G para PG. |1
Eu gostei especialmente as escolhas não-clichê com os pais; em outros filmes, eu poderia prever o diálogo na íntegra, mas a escrita neste filme feito melhores seleções. |1
Se você quer um filme que não é bruto, mas dá-lhe alguns calafrios, esta é uma ótima escolha. |1
Alexander Nevsky é um grande filme. |1
Ele é um artista filme incrível, um dos mais importante quem viveu. |1
Estou feliz esta peça pretensiosa de s *** não fazer como planejado pelos tiros de Dodge Stratus grandes ... vai fabricantes de ajuda de filmes que não estão no negócio do filme muito contido de Québec. |0
Isso se o primeiro filme que eu tenho dado a 10 em anos. |1
Se alguma vez houve um filme que precisava de boca-a-boca para promover, é isso. |1
No geral, o filme é interessante e instigante. |1
Além disso, ele foi bem tranqüilo e adequado a sua tempo de execução relativamente curto. |1
Dar um olhar. |1
Eu dei-lhe um 10 |1
O Vento eo Leão é bem escrito e muito bem atuado. |1
É um verdadeiro clássico. |1
Na verdade, acabou por ser bastante decente, tanto quanto lista B horror / filmes de suspense ir. |1
Definitivamente vale a pena conferir. |1
O problema foi o script. |0
Foi horrível. |0
Não havia nada crível sobre ele em tudo. |0
O único suspense que eu estava sentindo era a frustração com o quão retardado as meninas estavam. |0
Maná do céu é um filme fantástico que é ao mesmo tempo previsíveis e imprevisíveis, ao mesmo tempo. |1
As cenas são muitas vezes engraçado e, ocasionalmente tocando como os personagens avaliar suas vidas e para onde estão indo. |1
O elenco de atores veteranos são mais do que apenas uma viagem de nostalgia. |1
retrato da freira de Ursula Burton é ao mesmo tempo comovente e engraçado ao mesmo tempo com a tirando sarro de freiras ou a igreja. |1
Se você está à procura de um filme com um elenco fantástico, uma boa música (incluindo uma versão Shirley Jones de The Way You Look Tonight), e uma elevação fim, dar um presente uma tentativa. |1
Eu não acho que você vai ficar desapontado. |1
Francamente, após o clube do algodão e Unfaithful, era uma espécie de embaraçoso para assistir Lane e Gere no filme, porque ele é ruim. |0
A atuação foi ruim, os diálogos eram extremamente superficial e insincera. |0
Foi muito previsível, mesmo para um chick flick. |0
Muito politicamente correto. |0
Muito decepcionante. |0
A única coisa que realmente vale a pena assistir foi o cenário e a casa, porque é bonito. |1
Eu amo a pista, mas eu nunca a vi em um filme este mau. |0
Uma hora e meia Eu gostaria de poder trazer de volta. |0
Mas em termos de escrita é muito fresca e negrito. |1
A atuação ajuda a escrita dão muito bem (talvez a irmã idiota-savant poderia ter sido jogado melhor), e é uma verdadeira alegria de assistir. |1
A direção e cinematografia não são tão bons. |0
O filme foi tão chato, que às vezes eu encontrei-me ocupado pico no papel em vez de assistir (nunca aconteceu durante um filme Columbo antes! |0
), E às vezes foi tão embaraçoso que eu tive que desviar o olhar. |0
A direção parece demasiado pretensioso. |0
As cenas com o oh-so-amadurecer vizinho de menina são uma misplace. |0
E, geralmente, as linhas e enredo é mais fraco do que o episódio média. |0
Então cena em que eles debatido se deve ou não demitir o trompetista (que falsamente foi acusado pelo assassinato) é puro horror, realmente estúpido. |0
Alguns aplausos deve ser dada ao prelúdio, no entanto. |1
Eu realmente gostei que. |1
Um grande filme de um grande diretor. |1
O filme tinha-lo na borda de seu assento e fez-lhe um pouco com medo de ir para o seu carro no final da noite. |1
A música do filme é muito bom também. |1
Eu aconselho ninguém a ir vê-lo. |1
Brilhante! |1
10/10 |1
Eu gostei desta maneira filme muito. |1
O meu único problema é que eu pensei que o ator que interpreta o vilão era um aluguel baixo Michael Ironside. |0
Ele balançou meu mundo e é certamente um deve ver para quem sem saídas sociais ou físicas. |1
No entanto, este não fez para o fato de que, em geral, este foi um filme tremendamente chato. |0
Não havia química entre Ben Affleck e Sandra Bullock no filme, e eu não conseguia entender por que ele consideraria mesmo deixando sua esposa-a-ser para essa garota que ele supostamente foi nocauteado por. |0
Houve vários momentos no filme que simplesmente não precisa estar lá e foram dolorosamente lentos. |0
Este foi um remake pobre de Wedding meus melhores amigos. |0
Tudo em tudo, uma grande decepção. |0
Eu não posso acreditar que os atores concordaram em fazer isso filme. |0
Eu não poderia estar até mesmo vê-lo por muito tempo por medo de perder o QI |0
Eu acho que ninguém na rede que foi ao ar neste drible assisti-lo antes de colocá-lo. |0
classificações de IMDB única ir tão baixo 1 para horrível, é hora de obter alguns números negativos em lá para casos como estes. |0
Eu vi Mirrormask ontem à noite e foi uma experiência insatisfatória. |0
Infelizmente, a inexperiência de direção significava que cena após cena passou com pouco na forma de tensão dramática ou conflito. |0
Estes são os temas centrais do filme e eles são tratados ineptly, estereotipada e sem profundidade da imaginação. |0
Todas as fotos bonitas do mundo não pode fazer-se de uma peça de trabalho que é falho no núcleo. |0
É uma hora e meia desperdício de tempo, seguindo um monte de muito bonito estudantes do ensino médio lamentar e chorar vida. |0
Você não pode se relacionar com eles, o inferno você mal consegue entendê-los. |0
Este é definitivamente um clássico cult vale bem a visualização e partilha com os outros. |1
Este filme é um desastre puro, a história é estúpido e da edição é o pior que tenho visto, ele confunde incrivelmente. |0
O peixe é mal feita e algumas de suas fotos subaquáticas são repetidos milhares de vezes no filme. |0
Um verdadeiramente, verdadeiramente mau filme. |0
A atuação é terrível, ea escrita é pior. |0
A única maneira possível este filme poderia ser resgatado seria tão MST3K forragem. |0
Eu paguei muito. |0
Além disso, é um verdadeiro deleite para ver Anthony Quinn jogo Crazy Horse. |1
Era tão chato! |0
No enredo qualquer! |0
Novamente, nenhuma parcela em tudo. |0
Horrível! |0
Pior hora e meia da minha vida! Oh meu Deus! |0
Eu tive que sair do teatro por alguns minutos apenas para obter algum alívio! |0
Eu odeio filmes como esse. |0
Sim, o filme praticamente sugado. |0
NÃO HÁ enredo ou STORYLINE !! |0
Se você vai ver este filme, trazer um travesseiro ou uma namorada / namorado para mantê-lo ocupado por fora. |0
Horrível. |0
Eu não acho que eu já ido para um filme e não gostava tanto. |0
Foi uma coisa boa que os bilhetes custam apenas cinco dólares, porque eu seria louco se eu teria pago US $ 7,50 para ver essa porcaria. |0
identifica NINGUÉM com esses personagens porque eles são todos os recortes de papelão e estereótipos (ou previsivelmente reversa estereótipos). |0
Este é um filme ruim, com má escrita e bons atores .... um desenho feio trabalhada por Paul Haggis para pessoas que não podem lidar com qualquer coisa, mas as pinceladas ousadas na narrativa .... um quadro pintado com lápis de cor. |0
Bater é um pouco nada deprimente, que provoca emoção, mas ensina-lhe nada se você já sabe o racismo eo preconceito são coisas ruins. |0
Ainda assim, eu gosto deste filme para ele do empoderamento das mulheres; não há filmes suficientes lá fora como este. |1
Seu cérebro vai tentar shut-down, como parte de um impulso primitivo de auto-preservação. |0
I ficou abalada com a experiência de assistir a este filme e eu dei uma boa duas horas para se recuperar totalmente. |0
Este filme agora se junta Revenge of the Boogeyman e Zombiez como parte da trindade infernal de filmes de terror. |0
Eu certamente não quero dizer esta distinção em um bom caminho. |0
Quero dizer isso de uma maneira terrível. |0
Este filme não tem características redentoras. |0
Tudo é terrível. |0
Artless câmera de trabalho infinitamente nos apresenta o mais feio imagináveis ​​configuração, ou seja, |0
A história está além de estúpido. |0
O roteiro é péssimo, houve um script? |0
As crianças são irritantes. |0
O homem de chumbo é livre de carisma. |0
Totalmente sem mérito, em qualquer nível, este é semelhante à tortura. |0
Vou até dizer de novo ?? Isso é tortura. |0
Talvez houvesse uma explicação razoável para esta atrocidade. |0
Não uma viagem agradável de auto-descoberta. |0
Altamente unrecommended. |0
Se este som premissa estúpido, isso é porque é. |0
Sim, é assim tão mau. |0
Nada a recomendar. |0
Um excelente desempenho da Sra Garbo, que mostrou logo de cara que seu talento poderia transitar da era silenciosa (Eu queria ver um pouco de seu trabalho silencioso, mas o Netflix não parece ser armazená-los. |1
Também é ótimo para ver que renomado roteirista silenciosa Frances Marion não perdeu um passo que vai de silêncio para o som. |1
Este filme sofreu por causa da escrita, que precisava de mais suspense. |0
Havia muitos close-ups. |0
Mas diferente do que o filme parecia arrastar e os heróis realmente não trabalho para sua liberdade. |0
Mas este filme é definitivamente uma renda abaixo da média. |0
Você vai adorar! |1
Este filme é ruim. |0
Tão ruim. |0
O filme é um caminho muito longo. |0
Este é definitivamente um dos maus. |0
O filme que recebi foi um grande filme de qualidade para a sua idade. |1
John Wayne fez um trabalho incrível por ser tão jovem na indústria do cinema. |1
Sua presença na tela em brilhou pensou, embora houvesse outros atores seniores na tela com ele. |1
Eu acho que é um deve ver mais antigo filme de John Wayne. |1
Eu realmente não vejo como alguém pode apreciar este filme. |0
Eu não acho que eu já vi uma meia filme tão chato como esta peça auto-indulgente de lixo. |0
Provavelmente teria sido melhor se o diretor não tinha passado a maior parte do filme apresentando a sua própria obra de arte, que realmente não é tão notável. |0
Outra coisa que eu realmente não gosto é quando um personagem levou um soco no rosto, um galão de sangue iria vomitar logo depois. |0
Jamie Foxx é absolutamente Ray Charles. |1
Seu desempenho é simplesmente genial. |1
Ele é dono do filme, assim como Spacek propriedade filha de mineiro de carvão e Quaid propriedade Great Balls of Fire. |1
Na verdade, é difícil lembrar que a parte de Ray Charles está sendo deliberado, e não jogado pelo próprio homem. |1
Ray Charles é lendária. |1
vida Ray Charles forneceu excelente material biográfico para o filme, que vai muito além de ser apenas mais um filme sobre um músico. |1
Hitchcock é um grande diretor. |1
Ironicamente I principalmente encontrar seus filmes um total desperdício de tempo para assistir. |0
Em segundo lugar, Hitchcock praticamente aperfeiçoou o suspense e filme de perseguição. |1
É este pandering para o público que sabotagens maioria de seus filmes. |0
Daí toda a história carece de uma certa energia. |0
O enredo simplesmente burburinhos sobre como uma máquina, desesperadamente, dependendo da adição de novas cenas. |0
Existem as habituais falhas lógicas Hitchcock. |0
Mishima é extremamente desinteressante. |0
Esta é uma fria, filme normal sobre um autor estar / trabalhar em um frio abstrusa cultura. |0
As reconstituições planas não prenda sua atenção porque são emocionalmente à deriva e stagy. |0
E o resto ele só fica lá ser terrível ... com soldados cantando músicas sobre a masculinidade eles se comprometem a, hairsplitting sobre a pureza, a admiração de espadas, etc. |0
Ele pode aborrecê-lo em pedaços, e matar o ímpeto de um filme, mais rápido do que qualquer outra pessoa. |0
Schrader tem feito um resumo completo de mau, filmes amadores. |0
Quando eu assisti pela primeira vez este filme, nos anos 80, eu adorei. |1
Eu estava totalmente fascinado pela música, a dança ... tudo. |1
No entanto, Recentemente assisti a coisa toda novamente em DVD, e eu estava completamente impressionado pela forma como extremamente estúpido o enredo era - como ele continha buracos, inconsistências e - francamente - um monte de porcaria - e como horrível a dança era. |0
Quero dizer, em um mundo realista, ela nunca teria chegado a esse repertório ballet ... A coisa toda foi bastante patético. |0
Os desenvolvimentos de caráter também faltava em profundidade. |0
WOA, conversa sobre horrível. |0
Não perca seu tempo. |0
Era muito horrível. |0
A, o diálogo pior sappiest ... Eu poderia continuar e continuar. |0
Mas o que realmente feitas unwatchable era a direção. |0
Os atores pobres. |0
Você não pode sequer dizer se eles têm algum talento, porque eles não só têm linhas patéticas para falar, mas o diretor não lhes deu nenhuma ação. |0
Se você verificar filme do diretor neste site você vai ver por que esse filme não tem uma chance. |0
Isso não seria mesmo bom como um feito para filme de TV. |0
Se boas intenções fez um grande filme, então este filme pode ser um dos maiores filmes já feitos. |1
O filme tem grandes atores, um diretor mestre, um tema importante - pelo menos um suposto tema significativo, tom de cinquenta existencial cansaço mundo, cenas aéreas que deveriam ter emocionado ambos os sentidos e imaginação e personagens sobre os quais se poderia profundamente importa. |1
Infelizmente, o filme falha. |0
O filme carece de interesse visual, drama, expressão do sentimento, e da celebração do muito patriotismo que sublinha a narrativa. |0
Sem atriz foi pior usadas que junho Allison neste filme. |0
No entanto, eu gosto de vê-lo. |1
Infelizmente, este é um filme ruim que é apenas má simples. |0
Roteiro ruim, mau direção e atuação horrível, fazem deste um mau liso! |0
O diálogo sugado. |0
A cinematografia-se ele pode ser chamado assim-sugado. |0
A trilha sonora sugado. |0
A atuação sugado. |0
As seqüências de concertos apenas sugou. |0
Aquilo foi legal. |1
Aquilo foi engraçado. |1
Foi tão engraçado. |1
No geral, este filme foi lixo barato. |0
Mas este filme não é engraçado, considerando o ridículo dele. |0
I veio de fora sentindo raiva. |0
*** SPOILERS *** O que quer que pode (ou não pode) ser dito sobre ele, a superfície está soberbamente trabalhada. |1
A cinematografia é simplesmente deslumbrante (para dizer o mínimo) eo fx não são nada se não state-of-the-art. |1
Conceitualmente, a mostra oferece um pouco de tudo-e para praticamente todos (pais, crianças, fantasia e / ou fãs fx). |1
E não havia uma única nota azedo atingiu agindo-sábio, tampouco; alguns elenco surpreendentemente sólido, aqui. |1
Tudo considerado, um trabalho muito bem feito. |1
Graças bom um filme como este foi feito e liberado. |1
Um dos melhores filmes mexicana sempre !, e uma das menos compreendidas, mesmo por mexicana si mesmos, não importa o quão identificou o deve ter sentido com ele. |1
Ele ocupa um lugar destacado como um grande noir-crime-drama, performances incríveis de Belmondo e Lino Ventura. |1
A atenção dada a cada personagem, e retratos psicológicos complexos, detalhando lealdade, traição, amor e esperança, são tremendas. |1
É um excelente drama, um excelente suspense, e um excelente filme. |1
Até lá com o melhor de Melville. |1
Tudo sobre este filme é simplesmente incrível. |1
Você realmente aproveitar esta viagem através dos olhos ea alma de uma criança. |1
A água preta é um thriller que consegue transcender completamente suas limitações (que é um filme indie) por subverter continuamente expectativas para emergir como uma experiência intensa. |1
As performances são reais e emocionante, o crocdodile é extremamente bem feito, de fato, se o site da Black Water é para ser acreditado que é porque eles usaram crocs reais ea localização pântano é fabuloso. |1
Eu desfrutamos quando Christopher Eccleston assumiu o controle da TARDIS ea continuação da série. |1
Eu não tenho certeza do que ele estava tentando fazer com este filme. |0
Se era para transformar o meu sentimento bom dia em uma noite de memórias perturbadoras do que eu acho que ele conseguiu. |0
Há um monte de lugares bonitos. |1
Ele foi forçado, como tudo neste filme. |0
Mais uma vez, coxo. |0
Aqui é onde o filme realmente pi ** me ed fora. |0
E nem sequer me fale sobre o camerawork jerky. |0
Quando eu vi isso no teatro eu pensei que eu ia ficar doente. |0
Resumo: Os chistes não eram espirituoso. |0
A trama - bem, eu disse que ia deixar essa passar. |0
A atuação foi ruim. |0
Muito ruim. |0
Mesmo Billy Bob não poderia subir acima do script, o que era pior. |0
Camerawork - novamente, ruim. |0
Avaliação: 1 out of 10 |0
Um final incrível para Possivelmente a melhor trilogia de todos os tempos! |1
Kieslowski nunca deixa de me surpreender. |1
Ele é um dos meus diretores favoritos, e um dos a maioria dos diretores talentosos da história do cinema. |1
Seu uso das cores da bandeira francesa nos três filmes foi nada menos que incrível, cada tiro, cada cena era como uma obra de arte. |1
Três dos filmes mais visualmente atraentes que eu já vi. |1
E suas conexões sutis entre os três filmes são impressionantes. |1
Eu tenho que falar isso e é um grande spoiler, eu amei o final, como todos os personagens dos três filmes foram os sobreviventes do desastre da balsa, com Valentine eo jovem juiz juntos, e o velho vê-lo em seu TV, solidificando sua felicidade sobre o sofrimento que ele lidou com para aqueles muitos anos. |1
Eu não conseguia pensar em uma maneira melhor de terminar o filme, mas um sorriso no meu rosto, ótima maneira de encerrar um filme incrível e trilogia! |1
Eu recomendo este para todos que ama filme, filmes, qualquer coisa ... uma obra de arte! |1
10 de 10 tanto para o filme e trilogia. |1
Eu literalmente vomitou enquanto assistir a este filme. |0
Eu acho que foi uma das pessoas que encontraram este outro de pérolas de Roth. |1
seu desempenho, como premiado, foi impressionante. |1
a história que foi contada de forma tão eloquente por Francis Ford Coppola 25 anos antes, realmente se desenrola gradualmente e sala de folhas para os personagens para se desenvolver. |1
Em um local mais maravilhoso encontra-se uma história de contraste. |1
Todos em um filme dirigido bonita de Roeg de Nicola wih um elenco sublime. |1
Eu estou traduzindo filmes para uma vida e este é o primeiro filme na minha experiência de trabalho de 5 anos que eu achei ofensiva à minha inteligência. |0
Mas quando alguém se esforça para a grandeza e poesia, mas oferece uma história confusa (e muitas vezes ridículo), um monte de cenas diferentes, o diálogo pretensioso ... Então você começa o pior tipo de um filme que algum outro usuário definido com muita precisão como pretensioso porcaria. |0
Para aqueles que acham este filme inteligente ou até mesmo magistral, eu só posso dizer - é a sua inteligência e sua imaginação, você obviamente usado para tentar fazer algum sentido de esta tentativa lamentável (é em nossa natureza humana para tentar fazer sentido das coisas). |0
Só mais uma coisa: eu posso tolerar incorreção política muito bem, eu sou todo para a liberdade artística e suspensão da descrença, mas a personagem feminina eslava era demais. |0
Isto é tão divertido um e filme engraçado. |1
Altamente entreter em todos os ângulos. |1
Ele apresenta uma matriz estranha de porcas marcantes, psicóticas mas amáveis. |1
Então, para nosso prazer nós começamos a vê-los correr, jogar jogos, e ser perigoso. |1
Ele ainda tem seus momentos doces. |1
O homem de reparação de telefone era muito engraçado e suas reações ao patrão nozes e mal-intencionado eram verdadeiramente genuíno. |1
Todos os personagens deste filme são tremendamente bem jogado. |1
E eu realmente encontrá-los engraçado. |1
Este é realmente um filme muito inteligente. |1
Há um brilhante final torção. |1
Eu amo isso. |1
O final é tão, tão perfeita ... você vai derramar uma lágrima. |1
Estou tão excitado depois de ver um filme como este. |1
Eu nunca vou esquecer isso agora. |1
Não é apenas um culto ... É um clássico cult. |1
Que tem mais profundidade e caráter do que o homem debaixo dela. |0
As configurações de Malta são tão seco e tão estéril como o diálogo. |0
Este filme é terrível. |0
As cenas de hóquei são terríveis, defensemen jogando como se estivessem 5 anos de idade, os goleiros mergulho em tiros que são 10 pés de largura da rede, etc. |0
Para aqueles que ainda não viu, não perca o seu tempo! |0
Para chamar este filme um drama é ridículo! |0
Começou a assistir a este, mas não acreditava em qualquer um dos personagens. |0
Em particular, a relação entre o assistente de padaria e garçonete simplesmente não funciona para mim em tudo. |0
Era um filme muito superficial e ele me deu a sensação de que eu estava assistindo o jogo, em vez de um filme. |0
Os personagens eram muito teatral ea história era muito parecida com uma farsa palco. |0
Até o momento o piromaníaco waylaid o assistente eu estava entediado e não ligava para o que aconteceu em seguida e então eu desligado. |0
Feliz por não pagar para ver. |0
não rir ou mesmo sorrir uma vez. |0
Mas não foi nada em tudo apenas um grande bocejo ... |0
É realmente um bom show para assistir. |1
É muito educativo para crianças de 1 a 8 anos de idade. |1
Barney é definitivamente super-DE duper. |1
é muito engraçado. |1
Babie Bop é muito bonito. |1
As crianças são muito legal também. |1
Mas Storm Trooper nem sequer é ruim o suficiente para torná-lo para a lista de filmes maravilhosamente terríveis|0
É apenas coxo. |0
O cara que disse que ele teve um melhor diálogo com os seus vasos de plantas tem direito. |0
Tudo sobre este filme é estúpido. |0
Mesmo se você ama filmes ruins, não assistir a este filme. |0
É vergonhoso. |0
Quero dar a este série de televisão a 10, mais se eu pudesse. |1
Os escritores eram bem no e eu acho que os melhores atores e atrizes foram um bônus para os personagens show.These eram tão real. |1
Devo dizer que eu ter gravado a maioria dos episódios e eu encontro-me a observá-los uma e outra vez. |1
Agora você sabe porque eu dei-lhe um 10+! |1
Eu não sei exatamente o que é sobre este filme, mas agarrou a este filme cativante e tornou-se uma parte especial de memórias da nossa família. |1
I total e absolutamente recomendar este filme para quem gosta de bons filmes de família saudável porque isso é exatamente o que é isso. |1
As coisas que as quatro crianças se metem em é absolutamente hilariante para assistir. |1
Este é um dos melhores filmes lá fora, que mostra como forte vínculo irmão para o outro. |1
Muito mais interessante, mais ação, mais suspense, e menos da controvérsia desnecessária. |1
Tudo a partir de atuar à cinematografia era sólido. |1
Definitivamente vale a pena conferir. |1
Damian é tão talentoso e versátil em tantas maneiras de escrever e interpretar diferentes personagens na tela. |1
Este filme tem uma aresta de corte a ela. |1
Estou tão contente de saber como um moderno gênio dia está lá fora, deixando a paixão para a arte levá-lo e tomar-nos como uma audiência com ele. |1
Os novos personagens não eram tão memorável, e eu encontrei-me esquecendo quem era quem. |0
Eu senti como se ela vai para a Irlanda não fez absolutamente nada que seja. |0
Ele não me fez medo, horrorizado, ou fazer-me solidário com os personagens; era simplesmente irritante. |0
Os movimentos de câmera bruscos também foram irritante. |0
O enredo foi o mesmo que praticamente todos os outros horror barato. |0
Houve algumas tentativas patéticas para dar aos personagens alguma profundidade, mas não deu muito certo para o resto da trama. |0
Eu acho que era para ser toque inteligente, em seguida, lançar alguma luz sobre a situação, mas era simplesmente estúpido. |0
Se você vê-lo, você provavelmente deve apenas deixá-lo na prateleira. |0
Elias Koteas, Jack Palance papéis jogar bem Angelina é quente e fica naked.Billy Drago aparece neste e é legal, como de costume + um cameo por Sven ole Thorsen ajuda a tornar este um filme muito agradável, com boa atuação e um orçamento decente. |1
Este foi um filme tão impressionante que eu comprei fora de Ebay. |1
Eu realmente amei a linha da história e o urso poler estava meio cute.But se alguém tem uma pergunta sobre Fort Steele, basta perguntar afastado :) |1
Este filme totalmente sem graça é tão por cima e patético e irrealista que durante os 90 minutos de tortura absoluta eu provavelmente olhou para o relógio sobre 70000 vezes! |0
Lucy Bell é muito maior do que essa porcaria e para ela a afundar esta baixa é bastante deprimente. |0
Todos este filme faz é deixá-lo doente assistindo a todos esses folgados dar desculpas por suas ações estúpidas para 90 minutos. |0
Deus, e eu nunca pode obter que 90 minutos de volta! |0
Eu acho que as peças maravilhosas maioria (literalmente, cheio de maravilha) são os trechos de suas obras. |1
Os conjuntos (especialmente projetado para trabalhar com a câmera) são incrível .... estilizado, bonito e eficaz. |1
Eles poderiam ser usados ​​como exemplos para qualquer designer set. |1
As histórias eram explorações poderosos da natureza do homem e da arte. |1
Depois de assistir este filme, eu queria aprender mais sobre as obras deste artista. |1
Eu recomendo este filme para qualquer pessoa interessada em arte, poesia, teatro, política ou história japonesa. |1
Aqui, o vento eo leão, vemos uma rendição maravilhosa da própria idade imperial da América. |1
) O que torna esta história diferente são os valores de produção fabulosa - fotografia impecável, composição e edição - o elenco fantástico - o subvalorizado Brian Keith jogando um valentão Teddy - e história viva. |1
Embora o vento eo Leão é contada em grande parte através dos olhos do filho, cada membro da família pode identificar-se com um dos personagens, seja bandido nobre de Sean Connery, heroína mal-humorada de Candice Bergen, de John Huston astuto John Hay ou Steve Kanaly de spiffy, radiante, implacável can-do tenente, Big Stick de Roosevelt. |1
Esta é uma grande aventura no seu melhor. |1
Acho que foi Robert Ryans melhor filme, porque ele retratou alguém como o meu pai, e ele era um esquizofrênico na vida real, (meu pai), embora ele nunca matou ninguém, mas foi afetada mais durante a segunda guerra mundial que fez dele pior. |1
Ter de humor dele para sobreviver e passar o dia era tão apt. |1
(Minha mãe e irmão tinha que fazer isso) Quando eu vi Robert Ryan retratar este tipo de homem, foi um muito boa imitação deste tipo de indivíduo, e fiquei impressionado. |1
Quase todas as músicas de Cover Girl são antiquado e não muito melodioso. |0
A coisa mais irritante sobre Cover Girl é a maneira em que Rita Hayworth é colocado em um pedestal. |0
Infelizmente, Cover Girl é um exemplo de como Hollywood usada para explorar mulheres para ganho financeiro. |0
