NÚMERO CONVÊNIO,NOME MUNICÍPIO,OBJETO DO CONVÊNIO,NOME ÓRGÃO SUPERIOR
737394,SALVADOR,"Constitui objeto deste convenio a implementacao do PROGRAMA DE APOIO A NUCLEOS DE EXCELENCIA -PRONEX no ESTADO DA BAHIA que visa a promocao do esforco integrado de fomento a pesquisa do conjunto das agencias federais e dos orgaos estaduais, articulando-se com o setor produtivo, quando couber, buscando desenvolver acoes comuns e complementares, explorando as vantagens das novas formas e mecanismos de financiamento, be","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
737443,RECIFE,"Fortalecimento e consolidacao do Parque Tecnologico Porto Digital, de Recife/PE","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
737478,SALVADOR,"Implementacao do PROGRAMA DE INFRA-ESTRUTURA PARA JOVENS PESQUISADORES (PROGRAMA PROMEIROS PROJETOS - PPP) no Estado da Bahia (BA), com recursos oriundos do Fundo Setorial de Infra-Estrutura e da Bahia, pelo financiamento de projetos de pesquisadores doutores, vinculados a instituicoes publicas de ensino e/ou pesquisa, selecionados por meio de edital a ser lancado pela FAPESB.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
738625,MACEIO,Implantacao de 33 Centros de Acesso a Tecnologias para a Inclusao Social (CATIS)em Comunidades Carentes,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
739182,ARACAJU,"A implementacao do Programa de Infra-Estrutura para jovens Pesquisadores ( PROGRAMA PRIMEIROS  PROJETOS - PPP, financiando projetos de pesquisadores doutores, vinculados a instituicoes publicas de ensino e/ou pesquisa selecionandos por meio de edital  a ser lancado pela FAPITEC/SE.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
740273,ANHEMBI,IMPLANTACAO DE INFRA ESTRUTURA DE CONVERGENCIA SOCIAL (CIDADE DIGITAL).,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
743262,SALVADOR,"Apoiar grupos emergentes de pesquisa, e permitir a consolidacao de linhas de pesquisa prioritarias, induzindo a formacao de novos nucleos de excelencia. Busca-se promover o esforco integrado de fomento a pesquisa do conjunto das agencias federais, dos orgaos estaduais de apoio a pesquisa, articulando-se com o setor produtivo, quando couber, buscando desenvolver acoes comuns e complementares, explorando as vantagens d","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
744415,LONDRINA,Implantacao do Laboratorio de Analise de Alimentos e Produtos Afins no Parque Tecnologico de Londrina Francisco Sciarra.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
745847,MANAUS,"Constitui objeto deste convenio a implementacao do PROGRAMA DE INFRA-ESTRUTURA PARA JOVENS PESQUISADORES (PROGRAMA PRIMEIROS PROJETOS-PPP) no Estado do Amazonas, pelo financimento de projetos de pesquisadores doutores, vinculados a instituicoes publicas de ensino e/ou pesquisa, selecionadas por meio de edital a ser lancado pela FAPEAM.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
746398,MACEIO,"Constitui objetivo do convenio a implementacao do Primeiro Convenio de Cooperacao Tecnica Cientifica, no Estado deAlagoas, do PROGRAMA DE NUCLEOS DE EMERGENTES DE PESQUISA - PRONEM junto ao CNPq, com vigencia para os exercicios de 2010 a 2015.O Programa de Apoio a Nucleos Emergentes de Pesquisa - PRONEM CNPq/FAPEAL visa apoiar grupos de pesquisa considerados como nucleos emergentes mediante o suporte financeiro a exe","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
746415,SAO LUIS,"Esta proposta de convnio se faz necessaria para apoiar grupos emergentes de pesquisa, e permitir a consolidao de linhas de pesquisa prioritrias, induzindo a formao de novos Ncleos de excelncia  no estado do Maranho. Busca-se promover o esforo integrado de fomento  pesquisa do conjunto das agncias federais, dos rgos  estaduais de apoio a pesquisa articulando-se com o setor produtivo, quando couber , buscando desenvolv","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
746740,ARACAJU,"Constitui objeto deste Convenio a implementacao, do PROGRAMA DE APOIO A NUCLEOS EMERGENTES DE PESQUISA - PRONEM, no Estado do SERGIPE, com recursos oriundosdos Fundos Setoriais/Fundo Nacional de Desenvolvimento Cientifico e Tecnologico - FNDCT e do Estado, pelo financiamento de projetos de pesquisadores doutores, vinculados a instituicoes publicas de ensino e/ ou pesquisa, selecionados por meio de edital a ser lancad","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
746760,CURITIBA,Cobrir a lacuna existente entre grupos de pesquisa ja instalados e os que estao em fase inicial de implantacao.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
746974,SAO PAULO,"Constitui objeto deste convenio a implementacao do Programa de Infraestrutura para Jovens Pesquisadores (Programa Primeiros Projetos - PPP) no Estado de Sao Paulo, com recursos oriundos dos Fundos Setoriais/Fundo Nacional de Desenvolvimento Cientifico e Tecnologico - FNDCT e do Estado, pelo financiamento de projetos de pesquisadores doutores vinculados a instituicoes publicas de ensino e/ou pesquisa, selecionados por","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
747328,BELO HORIZONTE,IMPLANTACAO DE INFRA ESTRUTURA DE CONVERGENCIA SOCIAL E DIGITAL.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
748196,BELO HORIZONTE,Desenvolvimento e implantacao de atividades de ensino e capacitacao para difusao dos conhecimentos relacionados aos recursos hidricos e ambientais pela Fundacao HidroEX.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
748556,MACEIO,"Constitui objeto deste Convenio a implementacao do PROGRAMA DE INFRA-ESTRUTURA PARA JOVENS PESQUISADORES (PROGRAMA PRIMEIROS PROJETOS - PPP) no Estado de Alagoas (AL), com recursos oriundos do Fundo Setorial de Infra-Estrutura e de Alagoas, pelo financiamento de projetos de pesquisadores doutores, vinculados a instituicoes publicas de ensino e/ou pesquisa, selecionados por meio de edital a ser lancado pela FAPEAL.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
750086,VITORIA,Implantacao do Centro de Inovacao do Parque Tecnologico Metropolitana de Vitoria,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
751092,SANTA CRUZ DO SUL,Implantacao da 1a Fase do Parque Cientifico Tecnologico Regional - TECNO - UNISC.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
754031,BOM JARDIM,Capacitar jovens estudantes e adultos do municipio de Bom Jardim-RJ,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
761657,COQUEIRAL,Implantacao de infraestrutura para Cidade Digital no Municipio de Coqueiral/MG,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
761660,RIO GRANDE,Implantacao de uma Infraestrutura para Cidade Digital em Rio Grande - RS.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
762010,RIO GRANDE,"Alocacao de recursos para execucao do projeto INCT em Ciencias do Mar - Oceanografia Integrada e Usos Multiplos da Plataforma Continental e Oceano Adjacente - INCTMar COI, processo CNPq no 565062/2010-7, executado por LUIS FELIPE HAX NIENCHESKI (coordenador do projeto), aprovado no ambito do Programa Institutos Nacionais de Ciencia e Tecnologia em Ciencias do Mar (Programa INCT  Ciencias do Mar), nos termos do Edital","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
762092,RIO DE JANEIRO,"Alocacao de recursos para execucao do projeto INCT de Estudos de Processos Oceanograficos Integrados da Plataforma Continental ao Talude - INCT Pro-Oceano, processo CNPq no 565061/2010-0, executado por RICARDO COUTINHO (coordenador do projeto), aprovado no ambito do Programa Institutos Nacionais de Ciencia e Tecnologia em Ciencias do Mar (Programa INCT - Ciencias do Mar), nos termos de Edital MCT/CNPq/FNDCT No 71/201","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
762228,SALVADOR,"Alocacao de recursos para execucao do projeto INCT em Ambientes Marinhos Tropicais - INCT AmbTropic, processo CNPq no 565054/2010-4, executado por JOSE MARIA LANDIM DOMINGUEZ (coordenador do projeto), aprovado no ambito do Programa Institutos Nacionais de Ciencia e Tecnologia em Ciencias do Mar (Programa INCT  Ciencias do Mar), nos termos do Edital MCT/CNPq/FNDCT No 71/2010  Institutos Nacionais de Ciencia e Tecnolog","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
763350,DOURADOS,Implantacao do Projeto Cidade Digital no Municipio de Dourados - MS,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
764012,RECIFE,RESTAURACAO DA HISTORICA TORRE DE ATRACACAO DO ZEPPELIN COMO UMA PROPOSTA DE EXTENSAO TECNOLOGICA,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
774375,SALVADOR,"apoiar atividades de pesquisa cientifica, tecnologica ou de inovacao, mediante a selecao de propostas para apoio financeiro a projetos relacionados ao objeto abaixo indicado","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
774380,SAO PAULO,"Lancamento de editais para Chamada Publica de Propostas cujo objetivo e apoiar, mediante aporte de recursos financeiros, projetos de pesquisa relacionados aos agravos prioritarios definidos pelo Conselho de Ciencia e Tecnologia e Inovacao da Secretaria de Estado da Saude de Sao Paulo, com o objetivo de aprofundar o conhecimento e identificar estrategias para melhoria da atencao e gestao do SUS-SP e a contratacao dos","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
774383,BELO HORIZONTE,"Implementar o Programa de Pesquisa para o Sistema Unico de Saude  PPSUS 2012, que busca apoiar pesquisas voltadas para problemas prioritarios de saude e o fortalecimento da gestao do SUS, no Estado de Minas Gerais.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
774445,RIO BRANCO,"Implementar o Programa de Pesquisa para o Sistema Unicode Saude - SUS: Gestao compartilhada em saude - PPSUS do Departamento de Ciencia e Tecnologia da Secretaria de Ciencia, Tecnologia e Insumos Estrategicos do Ministerio da Saude (DECIT/SCTIE/MS), que busca apoiar pesquisas voltadas para problemas prioritarios de saude e o fortalecimento da gestao do SUS, no Estado do Acre.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
776041,MACEIO,"O objetivo e promover o lancamento de Chamamento Publico, por meio de parceria entre o Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  CNPq e a Fundacao de Amparo a Pesquisa do Estado de Alagoas  FAPEAL, para selecao de projetos de pesquisa de Universidades e Orgaos de Pesquisa com sede no Estado de Alagoas, prioritariamente aquelas da regiao do Semiarido (regioes do Sertao e Agreste do Estado de Alago","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
780629,GOIANESIA,Implantacao de infraestrutura para Cidade Digital no Municipio de Goianesia.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
789109,ITAPEVA,Implementacao de infraestrutura para Cidade Digital no municipio de Itapeva/SP.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
789150,GARANHUNS,"Elaboracao e implantacao de projetos de Inclusao Digital no Municipio de Garanhuns (PE), por meio da construcao de rede metropolitana digital para interligar orgaos e instituicoes publicas de diversos niveis de governo e organizacoes publicas locais para inclusao social, aumento da eficiencia administrativa e ampliacao do acesso dos cidadaos a servicos publicos e a rede internet.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
790949,HORTOLANDIA,"Ampliacao da rede de dados existente em fibra optica, com aquisicao de equipamentos de rede de dados/armazenamento de dados na cidade de Hortolandia/SP.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
791017,CUIABA,Implantacao de solucao integrada de rede wirelles e de vigilancia eletronica para as escolas da rede municipal de ensino no municipio de Cuiaba/MT.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
791029,HORTOLANDIA,Aquisicao de equipamentos de rede de dados com ampliacao da rede de fibra optica no Municipio de Hortolandia/SP.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
791211,SAO GONCALO,"Inclusao Digital  Itinerante, que consistira na aquisicao de um micro-onibus, o qual funcionara como um laboratorio itinerante, com objetivos de qualificar jovens e adultos para o mercado de trabalho.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
791224,JAGUARIBE,"Implantacao de Centro Vocacional Tecnologico nos Distritos de Feiticeiro, Mapua e Nova Floresta no Municipio de Jaguaribe-CE.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
791287,SAO GONCALO,"Montagem de um Centro de Referencia Digital de Ensino Inovador  PROGRIDEN, no municipio de Sao Goncalo  RJ.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
792900,NATAL,"Promover a divulgacao cientifica e popularizacao da ciencia, de novos processos, tecnologias e inovacao no Estado do RioGrande do Norte, em sintonia com a sociedade atraves da realizacao do evento Mostra Cientifica FAPERN na Cidade da Crianca em Natal/RN, buscando aproximar os pesquisadores e suas instituicoes das comunidades/populacoes em seu entorno.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
793165,PADRE BERNARDO,Implantacao da Cidade Digital no Municipio de Padre Bernardo - GO,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
793504,NATIVIDADE,Construcao do Centro Vocacional Tecnologico no Municipio de Natividade-TO.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
793942,VITORIA,"Apoiar projetos de pesquisa e desenvolvimento multi-institucionais, visando a consolidacao de grupos de pesquisa, a expansao da cooperacao cientifica e o avanco tecnologico inovador em areas tematicas estrategicas definidas nas prioridades de desenvolvimento do Estado do Espirito Santo.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
793987,RIO DE JANEIRO,"Constitui objeto deste Convenio a implementacao do PROGRAMA DE APOIO A NUCLEOS DE EXCELENCIA  PRONEX,criado pelo Decreto no 1.857, de 10/04/1996, no Estado do Rio de Janeiro - CNPq/FAPERJ, que tem como finalidade:a) contribuir para consolidar o processo de desenvolvimento cientifico-tecnologico brasileiro, por meio do apoio continuado e adicional aos instrumentos hoje disponiveis, a grupos de alta competencia, que te","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
793988,BELO HORIZONTE,"Dar continuidade a implementacao, no Estado de Minas Gerais, do PROGRAMA DE APOIO A NUCLEOS DE EXCELENCIA - PRONEX/FAPEMIG/CNPq, criado pelo Decreto n 1.857, de 10/04/1996, que tem como finalidade: a) contribuir para consolidar o processo de desenvolvimento cientifico-tecnologico brasileiro, por meio do apoio continuado e adicional aos instrumentos hoje disponiveis, a grupos de alta competencia, que tenham lideranca","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794009,VITORIA,"Apoiar projetos de pesquisa cientifica, tecnologica e de inovacao propostos por grupos de pesquisa emergentes, formados por pesquisadores com destaque na sua area de conhecimento e com experiencia na coordenacao de projetos, de modo a permitir a consolidacao de linhas de pesquisa prioritarias para o Espirito Santo e induzir a formacao de novos nucleos de excelencia em pesquisa no estado.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794011,VITORIA,"Implementao do PROGRAMA DE INFRA-ESTRUTURA PARA JOVENS PESQUISADORES (PROGRAMA PRIMEIROS PROJETOS - PPP) no estado do Esprito Santo, pelo financiamento de projetos de pesquisadores doutores, vinculados a instituies pblicas de ensino e/ou pesquisa, selecionados por meio de edital a ser lanado pela FAPES.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794013,MANAUS,"Dar continuidade a implementacao do Programa de Apoio a Nucleos Emergentes de Pesquisa - PRONEM no Estado do Amazonas, para financiamento de projetos de pesquisa, desenvolvimento e inovacao, vinculados a instituicoes publicas de ensino e/ou pesquisa, selecionados por meio de edital.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794014,SALVADOR,"Apoiar grupos emergentes de pesquisa, e permitir a consolidacao de linhas de pesquisa prioritarias, induzindo a formacao de novos nucleos de excelencia. Busca-se promover o esforco integrado de fomento a pesquisa do conjunto das agencias federais, dos orgaos estaduais de apoio a pesquisa, articulando-se com o setor produtivo, quando couber, buscando desenvolver acoes comuns e complementares, explorando as vantagens d","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794017,ARACAJU,"Apoiar grupos de pesquisas e permitir a consolidacao de linhas de pesquisa, induzindo a formacao de novos nucleos de excelencia.Busca promover o esforco integrado  de fomento a pesquisa do conjunto das agencias federais e dos orgaos estaduais de apoio a pesquisa, buscando desenvolver acoes comuns e complementares, com novos mecanismos de financiamento, como o uso descentralizado recursos federais.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794027,BELEM,"Disponibilizar apoio a grupos emergentes de capacidade reconhecida ou em fase de implantacao, por meio de acoes comuns e complementares entre o CNPq e as entidades estaduais de fomento a pesquisa.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794028,CAMPO GRANDE,"Apoiar pesquisadores doutores de instituicoes publicas de ensino e/ ou pesquisa de Mato Grosso do Sul vinculados a grupos emergentes de pesquisa a fim de permitir a consolidacao de linhas de pesquisa prioritarias em MS e induzir a formacao de novos nucleos de excelencia. Promover o esforco integrado de fomento a pesquisa do conjunto das agencias federais, dos orgaos estaduais de apoio a pesquisa, articulando-se com o","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794029,CUIABA,"Constitui objeto deste convenio a implementacao do PROGRAMA DE APOIO A NUCLEOS EMERGENTES DE PESQUISA/PRONEM, com recursos oriundos do CNPq e do Estado de Mato Grosso para financiamento de projetos de pesquisa vinculados a instituicoes publicas de ensino e/ou pesquisa, selecionados por meio de Edital a ser lancado pela FAPEMAT nas areas estrategicas: Conservacao ambiental dos biomas e Praticas sustentaveis de uso de","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794030,BRASILIA,"O Programa de Apoio aos Nucleos emergentes (PRONEM) tem como objeto aportar R$ 8.000.000,00 (oito milhoes de reais), sendo R$ 4.000.000,00 (quatro milhoes de reais) por parte do CNPq e R$ 4.000.000,00 (quatro milhoes de reais) por parte da FAPDF, tendo em vista o apoio financeiro a projetos de pesquisa de grupos emergentes vinculados a Instituicoes de Ensino/Pesquisa e Instituicoes de Pesquisa do Distrito Federal e c","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794032,TERESINA,"Constitui objeto deste Convenio a implementacao, doPROGRAMA DE APOIO A NUCLEOS EMERGENTES DEPESQUISA - PRONEM, no Estado DO PIAUI, com recursosoriundos dos Fundos Setoriais/Fundo Nacional deDesenvolvimento Cientifico e Tecnologico - FNDCT e do Estado, pelo financiamento de projetos de pesquisadores doutores, vinculados a instituicoes publicas de ensino e/ ou pesquisa, selecionados por meio de edital a ser lancado pel","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794033,GOIANIA,"O presente convenio visa o apoio financeiro a grupos emergentes de capacidade reconhecida ou em fase de implantacao, por meio de acoes comuns e complementares entre o CNPq e a FAPEG, articulando, sempre que possivel, com o setor empresarial.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794034,BELO HORIZONTE,"Implementar, no Estado de Minas Gerais, o PROGRAMA DE APOIO A NUCLEOS EMERGENTES DE PESQUISA - PRONEM, que tem como finalidade fortalecer e consolidar grupos emergentes de pesquisa - ja existentes  apoiando e consolidando a geracao de nucleos e centros de pesquisas interdisciplinares, institucionais ou interinstitucionais.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794039,MANAUS,"Dar continuidade a implementacao do PROGRAMA DE INFRA-ESTRUTURA PARA JOVENS PESQUISADORES (PROGRAMA PRIMEIROS PROJETOS-PPP) no Estado do Amazonas, pelo financiamento de projetos de pesquisadores doutores, vinculados a instituicoes publicas de ensino e/ou pesquisa, selecionadas por meio de edital a ser lancado pela FAPEAM.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794043,ARACAJU,"A implementacao do Programa de Infraestrutura para jovens Pesquisadores ( PROGRAMA PRIMEIROS PROJETOS) - PPP, financiando projetos de pesquisadores doutores, vinculados a instituicoes publicas de ensino e/ou pesquisa selecionados  por meio de edital a ser lancado pela FAPITEC/SE.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794051,CURITIBA,"Possibilitar acoes de cooperacao tecnico-cientifica visando a implementacao dos projetos selecionados pela FAADCT, no ambito do Programa de Infra-estrutura para Jovens Pesquisadores (Programa Primeiros Projetos)  PPP.Capacidade Tecnica e Gerencial","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794073,CAMPO GRANDE,"Atender aos jovens doutores das instituicoes publicas de ensino superior e/ou de pesquisa do Estado de MatoGrosso do Sul que estao em fase de consolidacao de suas carreiras cientifico-tecnologicas, com recursos provenientes da Uniao e do Governo do Estado do Mato Grosso do Sul.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794075,BRASILIA,"O Programa Primeiros Projetos (PPP) tem como objeto aportar R$ 7.000.000,00 (sete milhoes de reais), sendo R$ 2.000.000,00 (dois milhoes de reais) por parte do CNPq e R$ 5.000.000,00 (cinco milhoes de reais) por parte da FAPDF, tendo em vista o apoio financeiro as pesquisas desenvolvidas por pesquisadores, doutores, recem contratados nas Instituicoes de Ensino/Pesquisa e Instituicoes de Pesquisa do Distrito Federal e","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794076,TERESINA,"Constitui objeto deste convenio a implementacao do PROGRAMA DE INFRA-ESTRUTURA PARA JOVENS PESQUISADORES (PROGRAMA PRIMEITOS PROJETOS - PPP)no Estado do Piaui, pelo financiamento de projetos de pesquisadores doutores, vinculados a instituicoes publicas de ensino e/ou pesquisa, selecionados por meio de edital a ser lancado pela FAPEPI","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794078,BELO HORIZONTE,"Implementar o PROGRAMA DE INFRA-ESTRUTURA PARA JOVENS PESQUISADORES (PROJETO PRIMEIROS PROJETOS - PPP) no Estado de Minas Gerais - MG, atraves do financiamento de projetos de pesquisadores doutores, vinculados a instituicoes publicas de ensino e/ou pesquisa, selecionados por meio de edital a ser lancado pela FAPEMIG.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794080,MANAUS,"Dar continuidade a implementacao, no Estado do Amazonas, do Programa de Apoio a Nucleos de Excelencia - PRONEX/FAPEAM/CNPq.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794103,CURITIBA,"Apoiar projetos de pesquisa cientifica, tecnologica ou de inovacao em qualquer area do conhecimento, propostos por pesquisadores de comprovada competencia e de reputacao tecnico-cientifica reconhecida nacional e internacionalmente, organizados para desenvolver, com interacao, projetos que possam contribuir significativamente para o avanco e difusao do conhecimento.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794135,CAMPO GRANDE,"Apoiar a execucao de projetos de pesquisa cientifica, tecnologica e de inovacao, visando a dar suporte financeiro aos trabalhos dos grupos de pesquisa consolidados e com excelencia reconhecida no Estado de Mato Grosso do Sul, em areas do conhecimento estrategicas para o estado.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794150,RECIFE,"Dar continuidade a implementacao, no estado de Pernambuco, do Programa de Apoio a Nucleos de Excelencia - PRONEX/FACEPE/CNPq, criado pelo Decreto no 1.857, de 10/04/2006, que tem como finalidade: a) contribuir para consolidar o processo de desenvolvimento cientitico-tecnologico brasileiro, por meio do apoio continuado e adicional aos instrumentos hoje disponiveis, a grupos de alta competencia, que tenham lideranca e","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794274,PORTO ALEGRE,"Implementar o Programa de Infra-Estrutura para Jovens Pesquisadores, ou Programa Primeiros Projetos  PPP  Edicao 2013, no Estado do Rio Grande do Sul.O Programa Primeiros Projetos  PPP  visa financiar pesquisadores, estudantes e tecnicos de dois ou mais grupos de pesquisa de instituicoes distintas no Estado do Rio Grande do Sul.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794276,BELEM,"Implementacao do PROGRAMA DE INFRA-ESTRUTURA PARA JOVENS PESQUISADORES (PROGRAMA PRIMEIROS PROJETOS  PPP), no Estado do PARA, com recursos oriundos dos Fundos Setoriais/Fundo Nacional de Desenvolvimento Cientifico e Tecnologico - FNDCT e do Estado, pelo financiamento de projetos de pesquisadores doutores, vinculados a instituicoes de ensino e/ou pesquisa, selecionados por meio de edital a ser lancado pela FAPESPA.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
794451,RECIFE,"Apoiar a aquisicao, instalacao, modernizacao, ampliacao ou recuperacao da infra-estrutura de pesquisa cientifica e tecnologica nas instituicoes de ensino superior e/ou de pesquisa visando dar suporte a fixacao de jovens pesquisadores e nucleacao de novos grupos, em quaisquer areas do conhecimento.","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
