Número Licitação,Objeto
12019,"Pregão Eletrônico -  Contratação de empresa especializada para prestação de serviço de Agenciamento de Viagens, compreendendo os serviços de cotação, reserva, emissão, remarcação, endosso e cancelamento de passagem aérea nacional e internacional, de passagem rodoviária interestadual e intermunicipal e de passagem fluvial para atender as necessidades da Secretaria de Segurança Pública e Defesa Social do Estado, conforme especificações e condições constantes do Termo de Referência."
12019,"Aquisição de peças sobressalentes de reposição a serem adquiridos e que compõem as Estações Meteorológicas Automáticas modelo VAISALA - MAWS 301, com 07 (sete) itens adquiridos."
12019,Aquisição de material de consumo visando repor o estoque do almoxarifado da Conab Sureg/SP.
12019,"A presente Licitação tem como objeto contratação de empresa especializada para elaboração dos Projetos de Segurança Contra Incêndio e Pânico (PSCIP), com os respectivos levantamentos 'As Built' e aprovação junto ao Corpo de Bombeiros Militar de Minas Gerais. Os serviços irão contemplar 08 (oito) unidades do CEFET-MG, mais especificamente os seguintes campus: Araxá, BH-Campus II, BH-Campus VI, Contagem, Leopoldina, Nepomuceno, Timóteo e Varginha, cujos endereços estão especificados no Anexo I, por pessoa"
12019,"Pagamento de taxa de inscrição para participação e apresentação de trabalho de doutoranda no 8º Congresso Brasileiro de Ciências Sociais e Saúde, de 26 a 30/09/2019, em João Pessoa - Paraíba."
12019,"Pregão Eletrônico -  Contratação de serviços técnicos de engenharia para elaboração de laudo técnico da atual situação do Galpão de Mineração, seguido de projeto de estrutura e de recuperação/reforço estrutural da infraestrutura e superestrutura"
12019,Contratação de serviço de publicação de documento oficiais na Imprensa Nacional (Diário Oficial da União) para exercício de 2019.
12019,"Pregão Eletrônico -  O presente Pregão Eletrônico tem por objeto Aquisição de Materiais: Gêneros Alimentícios, Hortifrutigranjeiros, carne bovina, gás - GLP, materiais de limpeza, utensílios de refeitório (copa e cozinha), aquisição de pães, salgados, sucos para eventos oficiais e outros para o Setor de Alimentação e Nutrição   SAN do Refeitório e demais setores do IFMT   Campus Cáceres   Prof. Olegário Baldo, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
12019,Pregão Eletrônico -  Aquisição de aparelhos de ar-condicionado e itens correlatos com instalação.
12019,Contratação de empresa para a prestação de serviços de suporte técnico - manutenção e assistência técnica para o sistema de gestão da Plataforma da Comissão de Ética no Uso de Animais (CEUA)para o IF Goiano.
12019,"Contratação de Pessoa Jurídica para Construção de uma Quadra de Vôlei de Areia no Campus Boa Vista Zona Oeste do IFRR, conforme condições, quantidades e exigências estabelecidas no convite e seus anexos."
12019,Contratação de empresa para prestação de serviços continuados de fornecimento de energia elétrica para atender as necessidades institucionais do Campus Araioses.
12019,Aquisição de fardamento para execução dos projetos pedagógicos vinculados ao Programa Mulheres Mil.
12019,"Pregão Eletrônico -  Contratação de serviços gráficos, visando suprir demandas dos Colegiados Acadêmicos e Setores Administrativos desta Universidade."
12019,"Pregão Eletrônico -  Aquisição de materiais permanente e de consumo para as salas de aula do Instituto Federal de Sergipe, conforme condições, quantidades, exigências e estimativas estabelecidas neste instrumento, inclusive as encaminhadas pelos órgãos e entidades participantes."
12019,"Pregão Eletrônico -  Contratação de serviços continuados de vigilância patrimonial armada, com disponibilização de mão de obra em regime de dedicação exclusiva"
12019,"Pregão Eletrônico -  Aquisição de refrigeradores, aparelhos de microondas, bebedouros, telefones sem fio e cadeiras, para atender às necessidades da Superintendência Estadual do Ministério da Saúde em Pernambuco - SEMS/PE."
12019,"Pregão Eletrônico -  Registro de Preços para aquisição eventual e futura, de material de consumo (Açúcar, Adoçante, Água Mineral, Café, Copo plástico descartável 100 ml e Copo plástico descartável 200 ml), conforme condições, quantidades e exigências estabelecidas neste estudo e seus anexos, em atendimento às demandas do Núcleo Estadual do Ministério da Saúde em Sergipe (NEMS/SE)."
12019,"O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada para construção de abrigo para resíduos sólidos na CASAI localizada no município de Boa Vista - RR, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
12019,"Pregão Eletrônico -  Aquisição de medicamentos e insumos para o centro de saúde para o Instituto Federal Farroupilha Campus Jaguari e demais participantes, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
12019,Capacitação para implantação do sistema de Manchester de Classificação de Risco no HFCF.
12019,Pregão Eletrônico -  Bens de consumo para a manutenção do campus e bens permanentes para utilização nos cursos cursos binacionais
12019,"Pregão Eletrônico -  Contratação de serviços de Segurança e Vigilância Patrimonial, por meio de Vigilância Desarmada, a serem executados nas dependências da Gerência Executiva do INSS em Vitória da Conquista/BA e demais Unidades sob sua abrangência, conforme locais indicados, quantidades de postos, escalas de trabalho, necessidades de cada edifício, definição das obrigações das partes e descrição dos serviços, os quais deverão observar os padrões mínimos de qualidade exigíveis, conforme condições, quanti"
12019,"Escolha da proposta mais vantajosa para a contratação de empresa especializada na execução de serviço de demolição total, até a cota de arrasamento, do prédio situado à Rua Presidente Kennedy, 1-6, Bauru/SP, mediante o regime empreitada por preço global, conforme condições, quantidades, exigências e especificações discriminadas no Projeto Básico e demais documentos anexos a este Convite."
12019,"Pregão Eletrônico -  Contratação de serviços de empresa especializada na prestação dos serviços de desinsetização, dedetização, descupinização e desratização com fornecimento de mão de obra, todos os materiais, equipamentos e ferramentas necessárias, a serem executados nas instalações das Unidades do INSS vinculadas à Gerência Executiva em Juazeiro do Norte/CE, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
12019,Curso/Treinamento: Curso Introdutório em Sistemas de Comércio de Emissão -  Mercado de Carbono
12019,"Pregão Eletrônico -  O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de pessoa jurídica para prestação de serviços continuados de rastreamento e monitoramento de veículos com transmissão de dados via GPRS/GSM e recepção GPS 24 horas em tempo real, com fornecimento de equipamentos em regime de comodato e Software de Gerenciamento com acesso via WEB, incluindo os serviços de instalação e manutenção de sistema de rastreamento automotivo dos veículos da Coordenadoria"
12019,"PROJETOS PRELIMINARES (constando de estudos topográficos, geotécnico, drenagem e meio ambiente) e PROJETO BÁSICO para as futuras obras do Sistema Adutor Ramal do Piancó, para transferência de água do trecho II do Eixo Norte do PISF para a bacia do Rio Piancó, na Paraíba"
12019,"Pregão Eletrônico -  Fornecimento, transporte, carga e descarga de materiais, equipamentos, utensílios e indumentárias, todos para uso em atividade apícola, destinados a implantação de ações de inclusão produtiva e outras demandas na área de atuação da 3ª Superintendência Regional da CODEVASF, no Estado de Pernambuco, através de Sistema de Registro de Preços   SRP."
12019,"Pregão Eletrônico -  Contratação de empresa para prestar serviços de gerenciamento do fornecimento de combustíveis, lubrificantes e filtros necessários ao funcionamento de veículos, máquinas e equipamentos, inclusive os que forem adquiridos na vigência do contrato, mediante utilização de cartão eletrônico (com chip ou código de barras), com controle operacional através de sistema informatizado, pertencentes à 4ª Superintendência Regional da Codevasf no estado de Sergipe."
12019,"O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de SERVIÇOS DE ENGENHARIA, compreendendo adequação e ampliação da Unidade de Pronto Atendimento Médico (PAM) e da Clínica de Oncologia do HFA do Hospital das Forças Armadas conforme condições, quantidades, exigências e especificações discriminadas no Termo de Referência e demais documentos anexos a este Edital. (SEI 60550.028987/2018-60)."
12019,"Pregão Eletrônico -  Contratação de empresa prestadora de serviço de autoescola para formação de condutores, mudança de categoria, curso de condução de veículos de emergência e curso de MOPP (Movimentação e Operação de Produtos Perigosos)."
12019,"Pregão Eletrônico -  A presente licitação tem como objeto a Cessão de Uso a título oneroso de uma área de  46,27m² (quarenta e seis vírgula vinte e sete metros quadrados), situada nas dependências do  prédio do 1o Esquadrão de Helicópteros Anti-Submarino, EsqdHS-1, imóvel de propriedade da  União, localizado na rua Comandante Ituriel, s/n, Base Aérea Naval - São Pedro da Aldeia - RJ.  A indicada cessão é destinada à instalação e ao funcionamento de uma lanchonete/cantina, para  possibilitar a exploração"
12019,Pregão Eletrônico -  Aquisição de gêneros do Quantitativo de Subsistência (QS) visando atender às necessidades do Comando da 2ª Região Militar.
12019,Serviço de publicidade em jornal.
12019,"Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviço de táxi aéreo e transporte aeromédico, para remoções urgentes (adultos, crianças e neonatos), com equipe técnica especializada."
12019,"Pregão Eletrônico -  Registro de preços para contratação de pessoa jurídica especializada no fornecimento de suprimentos de impressão (cartuchos de toner e tinta, cabeça de impressão, cilindro, unidade coletora, unidade de transferência, unidade de imagem e kit manutenção para impressoras) para atender as demandas e o perfeito funcionamento do Comando, Subcomando, Subchefias e Gabinete do Comando de Operações Terrestres (COTER)."
12019,Contratação de serviço de comunicação em geral para a 2ª Cia Inf
12019,"Pregão Eletrônico -  Aquisição de peças de uniforme e acessórios, visando atender as necessidades da Escola Preparatória de Cadetes do Exército."
12019,"Prestação de serviço médico especializado em atendimento de odontologia geral, radiologia odontológica, psicologia, terapia ocupacional, fonoaudiologia e nutrição."
12019,Pregão Eletrônico -  Aquisição de Material Médico Hospitalar
12019,"Pregão Eletrônico -  Eventual aquisição de Óleos lubrificantes, graxas e afins"
12019,"Pregão Eletrônico -  Registro de preços para eventual aquisição de material de consumo odontológico, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
22018,Aquisição de material de consumo de informática (cartucho/toner para impressão)visando repor o estoque da Conab - Sureg/SP.
22019,"Pregão Eletrônico -  Prestação de serviços continuados para o exercício da função de motorista-executivo (CBO-7823-05), para atendimento das unidades administrativas do Ministério da Mulher, da Família e dos Direitos Humanos, localizadas em Brasília/DF, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos"
22019,"Pregão Eletrônico -  Registro de preços consignado em ata para aquisição de seringa de 200 ml compatível com bombas injetoras de contraste para atender a demanda de forma contínua do Hospital Metropolitano Odilon Behrens e suas unidades por um período de 12 meses, conforme especificação técnica e condições comerciais contidas no Anexo I do Instrumento Convocatório."
22019,"Pregão Eletrônico -  Aquisição de Compressores de Ar, conforme especificações técnicas e quantidades estabelecidas neste Edital e seus anexos."
22019,"Pregão Eletrônico -  Contratação de pessoa jurídica para a prestação de serviço especializado no gerenciamento de abastecimento, implantação e operação de um sistema informatizado/integrado com utilização de cartão magnético via WEB a ser utilizado no fornecimento de combustíveis e lavagem automotiva, através de postos credenciados, para atender a frota de veículos oficiais de transporte de pessoal e carga da CNEN (Sede, Escritórios e Distritos), CDTN, CRCN-CO e LAPOC, pelo prazo de vigência de 12 (doze)"
22019,Informação protegida por sigilo nos termos da legislação vigente
22019,"Pregão Eletrônico -  Contratação de empresa especializada, no ramo de engenharia, para prestação dos serviços de operação e manutenção dos sistemas de ventilação, sistema central de ar condicionado, sistemas unitários e equipamentos de refrigeração, compreendendo a manutenção preventiva, corretiva, instalação e remanejamento dos aparelhos de ar condicionado e refrigeração existentes nesta Autarquia, com fornecimento de mão de obra, ferramentas, equipamentos e materiais, com peças, insumos e componentes g"
22019,"Pregão Eletrônico -  Insumos agrícolas, ferramentas, material de armazenamento e de infraestrutura, sementes e mudas"
22019,"Pregão Eletrônico -  Contratação de empresa especializada e conceituada em produção de eventos culturais para atender a realização do 7º festival internacional de música clássica, na cidade de joão pessoa-pb a ser promovido pela fundação cultural de joão pessoa-pb   funjope"
22019,"Contratação de pessoa jurídica para fornecimento de luva nitrílica descartável, na cor azul, ambidestra, sem talco ou amido (pó), não estéril, em caixa fechada com 100 unidades, produto aprovado pelo INMETRO e com Certificado de Aprovação (CA) válido, visando atender às necessidades da Alfândega do Aeroporto Internacional de São Paulo/Guarulhos - ALF/GRU."
22019,"Pregão Eletrônico -  Contratação de pessoa jurídica para a prestação de serviços de armazenagem, guarda, controle e movimentação de mercadorias apreendidas e de bens sob guarda ou de propriedade da Alfândega da Receita Federal do Brasil do Porto de Santos, conforme condições, quantidades e exigências estabelecidas no instrumento convocatório."
22019,Contratação de prestação de serviços de distribuição de publicidade legal.
22019,"Pregão Eletrônico -  Registro de preços para eventual contratação de empresa especializada na prestação de serviço de viabilização de eventos para os setores agrícolas, pecuários, pesqueiros, aquícolas e serviços correlatos da secretaria de desenvolvimento agropecuário e de pesca   SEDAP, envolvendo as etapas de organização, coordenação, planejamento, acompanhamento e logística de montagem e desmontagem da estrutura utilizada, além do fornecimento de buffet e material gráfico e serigráfico."
22019,"Contratação de Serviços de Análise Laboratorial de Sementes a ser realizado de Análise de Sementes Oficial 'Guilherme de Abreu Lima' - LASO/INDEA, RENASEM Nº MT-00406/2006, para atender as necessidades da SFA/MT."
22019,Pregão Eletrônico -  Aquisição de suprimentos para impressora RISOGRAPH COMCOLOR 5070.
22019,Inscrição no XXVIII Congresso Brasileiro de Biblioteconomia e Documentação 2019
22019,"Pagamento de inscrição da ervidora Adrienne Keure Andrade Martins, no Curso de Formação e Capacitação de Pregoeiros e equipe de apoio, no período de 26 a 27 de setembro de 2019, no Hotel San Francisco Flat - Lourdes, Av. Álvares Cabral, 687 em Belo Horizonte/MG."
22019,"Pregão Eletrônico -  O objeto da presente licitação é o registro de preços para eventual aquisição de MATERIAL DE EXPEDIENTE (II), para atender à demanda dos diversos setores da UNIVERSIDADE FEDERAL DA PARAÍBA."
22019,"Contratação de empresa para manutenção do equipamento FACs Accuri, modelo 3395."
22019,"Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços de manutenção e instalação, com fornecimento de peças, de forma continuada, para a manutenção preventiva e corretiva dos aparelhos de refrigeração (ar condicionados, bebedouros, geladeiras, etc) do Centro de Formação de Professores da UFCG."
22019,"Construção do Prédio do curso de medicina, ampliação do bloco existente, urbanização e complementação da drenagem e do muro do campus, no Campus de Picos, Picos/PI"
22019,"Pregão Eletrônico -  Aquisição de MATERIAL DE CONSUMO: GÊNEROS ALIMENTÍCIOS, MATERIAIS DE USO DESCARTÁVEL, MATERIAIS GERAIS DE LIMPEZA, GÁS LIQUEFEITO DE PETRÓLEO E ÁGUA MINERAL."
22019,Contratação de empresa para aquisição de gás 13kg.
22019,"Pregão Eletrônico -  Registro de Preços para aquisição futura de Material Esportivo (consumo e permanente), para o IFCE Campus Acaraú e demais órgãos participantes."
22019,"Aquisição de materiais e medicamentos, conforme condições, quantidades e exigências estabelecidas no termo de referência."
22019,"Fornecimento de água e esgoto sanitário para o IFPB - Campus João Pessoa, pelo período indeterminado"
22019,"Pregão Eletrônico -  Aquisição de material de expediente, para atender às demandas acadêmicas e administrativas do Campus Itapetinga."
22019,"Pregão Eletrônico -  Aquisição de equipamentos diversos, conforme condições, quantidades e exigências estabelecidas no termo de referência."
22019,"Pregão Eletrônico -  Aquisição de Uniformes escolares, esportivos, camisas, mochilas, bolsas, tecidos e afins pelo Instituto Federal de Educação, Ciência e Tecnologia do Norte Minas Gerais (IFNMG) - Campus Montes Claros, bem como pelos órgãos e entidades participantes."
22019,"Pregão Eletrônico -  Objetiva-se a eventual compra de itens de Material de Limpeza e Utensílios Domésticos, visando suprir demandas dos Setores Administrativos e Colegiados Acadêmicos."
22019,Aquisição do software FACTORY I/O ULTIMATE. para o ensino e desenvolvimento de aplicações em automação industrial.
22019,"Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246, conforme condições, quantidades e exigências estabelecidas em edital."
22019,"Aquisição de materiais de consumo e permanente para uso didático e esportivo, nas atividades de Educação Física do IFPB, Campus Esperança."
22019,TERMOCICLADOR da marca Applied Biosystems e seu bloco para injeção de amostra (acessório para o equipamento).
22019,"Pregão Eletrônico -  Contratação de empresa especializada para o fornecimento de material para limpeza e manutenção de água de piscina, conforme demanda das Residências Oficiais do Governador do Estado do Pará, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
22019,Curso/Treinamento:Curso Introdutório em Sistemas de Comércio de Emissão -  Mercado de Carbono
22019,"Pregão Eletrônico -  Contratação de serviços de Limpeza, conservação, higienização e asseio diário, com fornecimento de mão de obra e por demanda de todos os materiais, equipamentos e ferramentas necessárias a serem executados nas dependências da sede da Superintendência Regional do Incra no Estado de Sergipe, conforme condições, quantidades e exigências estabelecidas neste Edital e sus anexos."
22019,"Pregão Eletrônico -  Agenciamento de viagens para voos regulares domésticos e internacionais compreendendo reserva, marcação, remarcação, cancelamento de bilhetes"
22019,Capacitação de servidor.
22019,"Pregão Eletrônico -  Execução dos serviços necessários à pavimentação de vias públicas em municípios diversos, inseridos na área de atuação da 3ª Superintendência Regional da CODEVASF, através da Constituição de Sistema de Registro de Preços - SRP, com a consequente efetivação da Ata de Registro de Preços e respectivo Termo de Contrato.  LOTE I: 172.828,95 m  de pavimentação de vias públicas em paralelepípedo;   LOTE II: 85.065,75  m  de pavimentação asfáltica   TSD."
22019,"Pregão Eletrônico -  REGISTRO DE PREÇOS para contratação de serviços de Outsourcing de Impressão para a Diretoria de Portos e Costas (DPC), com fornecimento de equipamentos novos e de primeiro uso para impressão, digitalização e cópias. Incluindo manutenção e assistência técnica, fornecimento de peças e partes, consumíveis e insumos (exceto papel), software de gestão de impressão centralizada, por meio de solução embarcada pelo fabricante."
22019,"Pregão Eletrônico -  Registro de preços para eventual aquisição de materiais de construção, pisos e revestimentos, materiais para pintura e ferramentas em proveito deste Centro de Mísseis e Armas Submarinas da Marinha (CMASM)."
22019,"Pregão Eletrônico -  Contratação de empresa para a prestação de serviços continuados de manutenção preventiva e corretiva, incluindo o serviço de lavagem e higienização, em veículos automotores, pertencentes à frota da Diretoria de Sistemas de Armas da Marinha (DSAM), sob o regime de empreitada por preço unitário (por demanda), sem dedicação exclusiva de mão de obra, com o fornecimento e aplicação de peças de reposição, componentes e acessórios novos, com as mesmas especificações técnicas."
22019,"Pregão Eletrônico -  O objeto da presente licitação é a escolha da proposta mais vantajosa para a contração de serviços continuado de agenciamento de passagens rodoviárias intermunicipais e interestaduais e aéreas nacionais, compreendendo a emissão, marcação, remarcação e cancelamento de bilhetes de passagens solicitadas pela Delegacia da Capitania dos Portos em Itajaí, e os órgãos participantes, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos."
22019,"Pregão Eletrônico -  Aquisição de Materiais de Áudio, Vídeo e Foto, para o 3  Batalhão de Comunicações e Organizações Militares integrantes do PRORAPA (Programa de Racionalização Administrativa da Guarnição de Porto Alegre)."
22019,Pregão Eletrônico -  Contratação de empresa especializada para a prestação de serviço continuo de manutenção preventiva e corretiva de 1 (um) elevador da marca ATLAS SCHINDLER no Edificio Barão de Cerro Largo em Bagé/RS
22019,CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA ESTUDOS E ELABORAÇÃO DE PROJETOS BÁSICOS E EXECUTIVOS DESTINADOS ÀS OBRAS NO HOSPITAL GERAL DE FORTALEZA (HGeF)
22019,"Pregão Eletrônico -  Registro de Preços para eventual aquisição de Cartucho, Toner e Tinta para impressora, para atender o Comando da 2ª Brigada de Infantaria de Selva e OM Vinculadas."
22019,"Construção da Infraestrutura do 30º BI Mec, em Apucarana/PR"
22019,Pregão Eletrônico -  Registro de preços para eventual aquisição de equipamentos de engenharia visando atender a demanda do Departamento de Engenharia e Construção (DEC) e Organizações Militares do Sistema de Engenharia do Exercito (SEE).
22019,Curso de Capacitação de Pessoal
22019,"Pregão Eletrônico -  Contratação de empresa especializada em prestação de serviços de buffet para realização de eventos correlatos da Base de Administração e Apoio do Comando Militar do Planalto, no âmbito de sua abrangência, sob demanda, contendo planejamento, organização, execução, acompanhamento, fornecimento de alimentação e bebida, apoio logístico e ornamentação, em regime de menor preço unitário, conforme condições, quantidades, exigências e estimativas especificadas no edital."
22019,"O objeto da presente licitação é a escolha da proposta mais vantajosa para contratação de empresa para execução de serviços de adequação do estacionamento à frente ao Corpo da Guarda do CMO, na cidade de Campo Grande   MS, mediante o regime de empreitada por preço unitário, conforme especificações constantes no Projeto Básico   ANEXO I."
22019,"Prestação, pela empresa brasileira de correios e telégrafos, de serviços e vendas de produtos, que atendam às necessidades  da contratante (hgun), mediante adesão ao(s) anexos(s) do instrumento contratual que, individualmente, caracteriza (m) cada modalidade envolvida;(correspondência agrupada, carta, cartão-postal e telegrama) e também,  os serviços postais  não exclusivos de sedex, desde que utilizado unicamente para a execução de serviços postais exclusivos."
22019,"Pregão Eletrônico -  Aquisição de material de construção baseado na tabela SINAPI-DF, para atender as necessidades de manutenção de bens e imóveis do Batalhão da Guarda Presidencial - BGP."
22019,"Pregão Eletrônico -  Aquisição de Grupo Gerador diesel, acompanhado de painel de controle, sobressalentes e serviços de testes em fábrica, montagem eletromecânica, comissionamento em campo e treinamento, para a Subestação de Ivaiporã, no Município de Manoel Ribas   PR."
32017,"Pregão Eletrônico -  Registro de Preço para contratação de empresas especializadas em prestação     de serviços de manutenção preventiva e corretiva dos condicionadores de ar do tipo splits e equipamentos de refrigeração, no IFMA   campus Imperatriz, Açailândia, Buriticupu, Pedreiras, Pinheiro, Caxias, Barreirinhas, Viana e campus Alcantara."
32018,"Aquisição de lâmpadas fluorescentes 26w, branca, 4 pinos, Bivolt."
32018,A área de atuação da credenciada será para prestação de serviços de diagnóstico e exames por imagem.
32019,Capacitação da servidora Daniela Matera do Monte Lins Gomes - matrícula 1826445 no VI curso Design Thinking na Escola de Design Thinking no Rio de Janeiro.
32019,"Pregão Eletrônico -  Contratação de empresa especializada para prestação de serviços continuados de Segurança e Vigilância Patrimonial armada e desarmada, mediante fornecimento de mão de obra, materiais, equipamentos, armamento, munição e coletes balísticos necessários à execução dos serviços, visando atender às necessidades do prédio sede do Museu Histórico Nacional, conforme condições, quantidades e exigências estabelecidas neste Edital e seus Anexos."
32019,"Pregão Eletrônico -  Contratação de serviços especializados para transporte de acervo de embarcações em miniatura que compõem a Coleção Barcos do Brasil e a Coleção Barcos do Mundo, do acervo do Museu Nacional do Mar, atualmente guardadas no Museu Nacional do Mar, em São Francisco do Sul/SC, para exposição no Centro Cultural do Patrimônio - Paço Imperial (CCPPI), no Rio de Janeiro, e posterior retorno ao Museu Nacional do Mar, em São Francisco do Sul/SC."
32019,Pregão Eletrônico -  Aquisição de Material de Construção.
32019,Informação protegida por sigilo nos termos da legislação vigente
32019,Fonte Externa portátil para partida de aeronave.
32019,"Pregão Eletrônico -  Contratação de pessoa jurídica especializada na prestação de serviços, de forma contínua, com regime de execução indireta, dos serviços de vigilância patrimonial armada, diurna e noturna (CBO 5173-30), a serem executados na nova Sede da Superintendência Regional de Polícia Rodoviária Federal no Estado do Espírito Santo (SRPRF/ES), conforme condições, localização, quantidades, exigências e estimativas, estabelecidas neste instrumento."
32019,"Pregão Eletrônico -  Trata-se de contratação de empresa especializada na prestação de serviços de gestão, planejamento, organização, promoção, coordenação, recepção, operacionalização, produção e assessoria de eventos, sob demanda, para a realização do evento International Competition Network  Cartel Workshop    2019, a ser realizado de 7 a 10 de outubro de 2019, em Foz do Iguaçu-PR, pelo Conselho Administrativo de Defesa Econômica   Cade."
32019,"Pregão Eletrônico -  Registro de Preços para eventual aquisição de suprimentos, acessórios de informática, equipamentos elétricos e eletrônicos para atender as necessidades do Conselho Regional de Fisioterapia e Terapia Ocupacional da Nona Região - Crefito-9, conforme especificações do Edital e seus Anexos."
32019,"Pregão Eletrônico -  Constitui objeto da presente licitação a contratação de links de acesso à Internet, com fornecimento e implantação de toda a infraestrutura de conectividade física e lógica, composta de todo o hardware e software necessários, bem como a gestão e suporte dos links de acesso à Internet contratados."
32019,"Pregão Eletrônico -  Contratação de serviços continuados com dedicação exclusiva de mão de obra de Limpeza e Conservação Predial, com fornecimento de material, para a DRF/Blumenau, ARF Rio do Sul, ARF Brusque e ARF/Timbó, com vigência inicial de 20 (vinte) meses, podendo ser prorrogada por sucessivos períodos, limitado ao prazo máximo de 60 (sessenta) meses, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos."
32019,Pregão Eletrônico -  Aquisição de EPIs para atender às unidades analíticas e de apoio ao desenvolvimento das atividades técnicas do LFDA-PE:
32019,Pregão Eletrônico -  Contratação de serviços de vigilância armada em proveito da SFA-SP e suas unidades descentralizadas.
32019,"Pregão Eletrônico -  Aquisição de Equipamentos, para atender a demanda da Embrapa Cerrados"
